utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765785438249,848175.415082,83.000,no_session,
1765785438563,848176.371419,82.000,no_session,
1765785439527,848177.335222,83.000,no_session,
1765785440501,848178.308769,83.000,no_session,
1765785441938,848179.746528,84.000,no_session,
1765785442882,848180.690432,85.000,no_session,
1765785443859,848181.667923,86.000,no_session,
1765785444821,848182.629417,87.000,no_session,
1765785445783,848183.590956,89.000,no_session,
1765785446740,848184.548384,90.000,no_session,
1765785447701,848185.508734,91.000,no_session,
