utc_ms,lsl_ts,hr,session,session_start_utc_ms
1765783748135,846485.333524,80.000,no_session,
1765783748933,846486.772166,81.000,no_session,
1765783749894,846487.733158,81.000,no_session,
1765783750856,846488.695449,82.000,no_session,
1765783751817,846489.656205,82.000,no_session,
1765783752779,846490.618143,81.000,no_session,
1765783753732,846491.570630,81.000,no_session,
1765783754695,846492.534026,80.000,no_session,
1765783755654,846493.493182,79.000,no_session,
1765783756614,846494.453563,79.000,no_session,
1765783757572,846495.410827,79.000,no_session,
1765783758532,846496.371099,78.000,no_session,
1765783759494,846497.332557,77.000,no_session,
1765783760935,846498.774043,77.000,no_session,
1765783761894,846499.732981,77.000,no_session,
1765783762854,846500.692616,76.000,no_session,
1765783763815,846501.654360,76.000,no_session,
1765783764779,846502.617880,76.000,no_session,
1765783765737,846503.576162,76.000,no_session,
1765783766694,846504.532375,76.000,no_session,
1765783767658,846505.496321,76.000,no_session,
