utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769489899403,2026-01-27 04:58:19.403,186339.751177,645.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489900361,2026-01-27 04:58:20.361,186340.708512,667.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489900361,2026-01-27 04:58:20.361,186340.708575,657.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489901322,2026-01-27 04:58:21.322,186341.670824,648.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489902283,2026-01-27 04:58:22.283,186342.631276,646.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489902283,2026-01-27 04:58:22.283,186342.631340,654.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489903244,2026-01-27 04:58:23.244,186343.592580,667.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489904200,2026-01-27 04:58:24.200,186344.548452,641.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489904200,2026-01-27 04:58:24.200,186344.548518,648.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489905166,2026-01-27 04:58:25.166,186345.514175,661.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489906606,2026-01-27 04:58:26.606,186346.954650,639.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489906606,2026-01-27 04:58:26.606,186346.954710,634.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489907549,2026-01-27 04:58:27.549,186347.897487,639.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489908525,2026-01-27 04:58:28.525,186348.872291,646.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
1769489908525,2026-01-27 04:58:28.525,186348.872364,664.000000,0127045758_f7ba7cd35c4d4,1769489878162,2026-01-27 04:57:58.162
