utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769491082140,2026-01-27 05:18:02.140,187522.466725,723.000000,0127051740_8fe5df8734f64,1769491060558,2026-01-27 05:17:40.558
1769491083114,2026-01-27 05:18:03.114,187523.440699,729.000000,0127051740_8fe5df8734f64,1769491060558,2026-01-27 05:17:40.558
1769491083114,2026-01-27 05:18:03.114,187523.440768,748.000000,0127051740_8fe5df8734f64,1769491060558,2026-01-27 05:17:40.558
1769491084058,2026-01-27 05:18:04.058,187524.384155,759.000000,0127051740_8fe5df8734f64,1769491060558,2026-01-27 05:17:40.558
1769491085514,2026-01-27 05:18:05.514,187525.841549,747.000000,0127051740_8fe5df8734f64,1769491060558,2026-01-27 05:17:40.558
1769491086474,2026-01-27 05:18:06.474,187526.801095,714.000000,0127051740_8fe5df8734f64,1769491060558,2026-01-27 05:17:40.558
1769491086474,2026-01-27 05:18:06.474,187526.801162,727.000000,0127051740_8fe5df8734f64,1769491060558,2026-01-27 05:17:40.558
1769491087435,2026-01-27 05:18:07.435,187527.762218,729.000000,0127051740_8fe5df8734f64,1769491060558,2026-01-27 05:17:40.558
1769491088393,2026-01-27 05:18:08.393,187528.719945,728.000000,0127051740_8fe5df8734f64,1769491060558,2026-01-27 05:17:40.558
1769491088394,2026-01-27 05:18:08.394,187528.720197,695.000000,0127051740_8fe5df8734f64,1769491060558,2026-01-27 05:17:40.558
