utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769491711452,2026-01-27 05:28:31.452,188151.767075,685.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491712410,2026-01-27 05:28:32.410,188152.725243,699.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491712410,2026-01-27 05:28:32.410,188152.725316,717.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491713369,2026-01-27 05:28:33.369,188153.684392,728.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491714332,2026-01-27 05:28:34.332,188154.646976,697.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491715293,2026-01-27 05:28:35.293,188155.608243,730.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491715293,2026-01-27 05:28:35.293,188155.608301,741.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491716253,2026-01-27 05:28:36.253,188156.568361,741.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491717217,2026-01-27 05:28:37.217,188157.531726,726.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491717217,2026-01-27 05:28:37.217,188157.531788,688.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491718171,2026-01-27 05:28:38.171,188158.485801,717.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491719130,2026-01-27 05:28:39.130,188159.444805,706.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491719130,2026-01-27 05:28:39.130,188159.444872,701.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491720090,2026-01-27 05:28:40.090,188160.405830,671.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491721527,2026-01-27 05:28:41.527,188161.842425,677.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491722491,2026-01-27 05:28:42.491,188162.806060,693.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
1769491722491,2026-01-27 05:28:42.491,188162.806119,720.000000,0127052810_a3f6b1c616f64,1769491690245,2026-01-27 05:28:10.245
