utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769493389094,2026-01-27 05:56:29.094,189829.378799,704.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493390534,2026-01-27 05:56:30.534,189830.819785,710.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493390534,2026-01-27 05:56:30.534,189830.819839,700.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493391494,2026-01-27 05:56:31.494,189831.779703,706.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493392453,2026-01-27 05:56:32.453,189832.738114,718.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493392453,2026-01-27 05:56:32.453,189832.738174,669.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493393414,2026-01-27 05:56:33.414,189833.699248,663.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493394375,2026-01-27 05:56:34.375,189834.659319,660.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493394375,2026-01-27 05:56:34.375,189834.659375,646.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493395335,2026-01-27 05:56:35.335,189835.620187,644.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493396295,2026-01-27 05:56:36.295,189836.579994,651.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493396295,2026-01-27 05:56:36.295,189836.580173,668.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493397257,2026-01-27 05:56:37.257,189837.541895,688.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493398214,2026-01-27 05:56:38.214,189838.498982,663.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493398214,2026-01-27 05:56:38.214,189838.499045,646.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
1769493399175,2026-01-27 05:56:39.175,189839.459950,664.000000,0127055607_7a323d25de944,1769493367902,2026-01-27 05:56:07.902
