utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769581397231,2026-01-28 06:23:17.231,237661.654758,673.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581397231,2026-01-28 06:23:17.231,237661.654818,681.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581398191,2026-01-28 06:23:18.191,237662.615287,654.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581399152,2026-01-28 06:23:19.152,237663.575361,672.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581399152,2026-01-28 06:23:19.152,237663.575431,677.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581400112,2026-01-28 06:23:20.112,237664.536295,683.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581402034,2026-01-28 06:23:22.034,237666.458363,685.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581402034,2026-01-28 06:23:22.034,237666.458432,652.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581402038,2026-01-28 06:23:22.038,237666.461759,666.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581403471,2026-01-28 06:23:23.471,237667.894788,671.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581403472,2026-01-28 06:23:23.472,237667.894862,671.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581404421,2026-01-28 06:23:24.421,237668.844943,673.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581405393,2026-01-28 06:23:25.393,237669.817033,649.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581405393,2026-01-28 06:23:25.393,237669.817093,668.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581406333,2026-01-28 06:23:26.333,237670.757454,667.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581407313,2026-01-28 06:23:27.313,237671.736729,672.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581407313,2026-01-28 06:23:27.313,237671.736790,665.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
1769581408274,2026-01-28 06:23:28.274,237672.697566,638.000000,0128062315_919217fac8904,1769581395080,2026-01-28 06:23:15.080
