utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769581807804,2026-01-28 06:30:07.804,238071.580618,671.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581807204,2026-01-28 06:30:07.204,238071.622095,669.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581807204,2026-01-28 06:30:07.204,238071.622163,660.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581808604,2026-01-28 06:30:08.604,238073.022073,659.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581809078,2026-01-28 06:30:09.078,238073.495337,639.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581809078,2026-01-28 06:30:09.078,238073.495395,655.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581810044,2026-01-28 06:30:10.044,238074.461434,677.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581811002,2026-01-28 06:30:11.002,238075.418932,673.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581811002,2026-01-28 06:30:11.002,238075.418990,663.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581812444,2026-01-28 06:30:12.444,238076.861705,657.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581812445,2026-01-28 06:30:12.445,238076.861821,668.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581813403,2026-01-28 06:30:13.403,238077.819753,674.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581814363,2026-01-28 06:30:14.363,238078.780484,670.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581814363,2026-01-28 06:30:14.363,238078.780542,642.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581815323,2026-01-28 06:30:15.323,238079.740755,622.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581816285,2026-01-28 06:30:16.285,238080.701838,621.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581816285,2026-01-28 06:30:16.285,238080.701898,645.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
1769581817239,2026-01-28 06:30:17.239,238081.656289,650.000000,0128063005_92c73bcec1c44,1769581805937,2026-01-28 06:30:05.937
