utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769582077092,2026-01-28 06:34:37.092,238340.864298,619.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582076451,2026-01-28 06:34:36.451,238340.864475,629.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582077408,2026-01-28 06:34:37.408,238341.820964,658.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582078835,2026-01-28 06:34:38.835,238343.247606,649.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582078835,2026-01-28 06:34:38.835,238343.247676,641.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582079327,2026-01-28 06:34:39.327,238343.740366,643.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582080288,2026-01-28 06:34:40.288,238344.700864,652.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582080288,2026-01-28 06:34:40.288,238344.700929,661.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582081247,2026-01-28 06:34:41.247,238345.660576,673.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582082210,2026-01-28 06:34:42.210,238346.623397,649.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582082210,2026-01-28 06:34:42.210,238346.623457,640.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582083169,2026-01-28 06:34:43.169,238347.581863,636.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582083169,2026-01-28 06:34:43.169,238347.581925,640.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582084127,2026-01-28 06:34:44.127,238348.539734,635.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582085090,2026-01-28 06:34:45.090,238349.503136,638.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582085090,2026-01-28 06:34:45.090,238349.503196,632.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582086527,2026-01-28 06:34:46.527,238350.940562,629.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582087008,2026-01-28 06:34:47.008,238351.421609,641.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
1769582087009,2026-01-28 06:34:47.009,238351.421791,649.000000,0128063435_e20d1743323e4,1769582075672,2026-01-28 06:34:35.672
