utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769582115494,2026-01-28 06:35:15.494,238379.265221,642.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582114853,2026-01-28 06:35:14.853,238379.265335,644.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582115313,2026-01-28 06:35:15.313,238379.725332,655.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582116293,2026-01-28 06:35:16.293,238380.704378,677.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582116293,2026-01-28 06:35:16.293,238380.704442,701.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582117250,2026-01-28 06:35:17.250,238381.661140,702.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582118210,2026-01-28 06:35:18.210,238382.622383,673.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582118210,2026-01-28 06:35:18.210,238382.622431,705.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582119161,2026-01-28 06:35:19.161,238383.572635,700.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582120130,2026-01-28 06:35:20.130,238384.541980,707.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582122051,2026-01-28 06:35:22.051,238386.463395,699.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582122051,2026-01-28 06:35:22.051,238386.463462,676.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582122055,2026-01-28 06:35:22.055,238386.466865,674.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582123009,2026-01-28 06:35:23.009,238387.421386,671.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582123009,2026-01-28 06:35:23.009,238387.421445,673.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582124448,2026-01-28 06:35:24.448,238388.860215,677.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582124448,2026-01-28 06:35:24.448,238388.860283,653.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
1769582125410,2026-01-28 06:35:25.410,238389.822197,647.000000,0128063513_00b640c4a4c54,1769582113845,2026-01-28 06:35:13.845
