utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769582382217,2026-01-28 06:39:42.217,238646.625155,690.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582382217,2026-01-28 06:39:42.217,238646.625256,660.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582383174,2026-01-28 06:39:43.174,238647.582462,665.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582384137,2026-01-28 06:39:44.137,238648.545949,664.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582384137,2026-01-28 06:39:44.137,238648.546004,673.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582385096,2026-01-28 06:39:45.096,238649.504576,672.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582386058,2026-01-28 06:39:46.058,238650.466336,650.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582386058,2026-01-28 06:39:46.058,238650.466393,661.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582387018,2026-01-28 06:39:47.018,238651.425554,682.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582388457,2026-01-28 06:39:48.457,238652.865822,694.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582388457,2026-01-28 06:39:48.457,238652.865908,692.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582389418,2026-01-28 06:39:49.418,238653.825616,669.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582390378,2026-01-28 06:39:50.378,238654.787004,676.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582390379,2026-01-28 06:39:50.379,238654.787059,678.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582391324,2026-01-28 06:39:51.324,238655.731787,697.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582392294,2026-01-28 06:39:52.294,238656.702345,688.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
1769582392295,2026-01-28 06:39:52.295,238656.702408,661.000000,0128063942_7dc0beae58154,1769582382151,2026-01-28 06:39:42.151
