utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769583856339,2026-01-28 07:04:16.339,240120.721839,747.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583857280,2026-01-28 07:04:17.280,240121.662354,759.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583857280,2026-01-28 07:04:17.280,240121.662418,723.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583858252,2026-01-28 07:04:18.252,240122.634692,736.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583859196,2026-01-28 07:04:19.196,240123.577877,756.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583861134,2026-01-28 07:04:21.134,240125.516261,770.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583861136,2026-01-28 07:04:21.136,240125.519451,772.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583861136,2026-01-28 07:04:21.136,240125.519498,729.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583862093,2026-01-28 07:04:22.093,240126.475965,738.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583863054,2026-01-28 07:04:23.054,240127.436504,749.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583863054,2026-01-28 07:04:23.054,240127.436570,756.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583864481,2026-01-28 07:04:24.481,240128.863539,744.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583865453,2026-01-28 07:04:25.453,240129.835933,727.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583866414,2026-01-28 07:04:26.414,240130.796483,750.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583867373,2026-01-28 07:04:27.373,240131.755824,774.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
1769583867373,2026-01-28 07:04:27.373,240131.755879,793.000000,0128070416_ede898ca5b164,1769583856153,2026-01-28 07:04:16.153
