utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769584432343,2026-01-28 07:13:52.343,240696.716608,670.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584432343,2026-01-28 07:13:52.343,240696.716624,699.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584433306,2026-01-28 07:13:53.306,240697.680376,703.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584434255,2026-01-28 07:13:54.255,240698.628710,690.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584435229,2026-01-28 07:13:55.229,240699.602373,688.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584435229,2026-01-28 07:13:55.229,240699.602443,708.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584436187,2026-01-28 07:13:56.187,240700.560986,724.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584437147,2026-01-28 07:13:57.147,240701.520773,722.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584437147,2026-01-28 07:13:57.147,240701.520942,691.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584438102,2026-01-28 07:13:58.102,240702.475551,679.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584439067,2026-01-28 07:13:59.067,240703.441281,654.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584439067,2026-01-28 07:13:59.067,240703.441333,680.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584440506,2026-01-28 07:14:00.506,240704.879273,689.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584441450,2026-01-28 07:14:01.450,240705.822931,704.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584441450,2026-01-28 07:14:01.450,240705.822993,674.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584442412,2026-01-28 07:14:02.412,240706.785663,645.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584443387,2026-01-28 07:14:03.387,240707.760198,623.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
1769584443387,2026-01-28 07:14:03.387,240707.760256,616.000000,0128071351_f00e84bf6be04,1769584431899,2026-01-28 07:13:51.899
