utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766389462476,2025-12-22 07:44:22.476,1092078.425335,795.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389462802,2025-12-22 07:44:22.802,1092079.392722,791.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389464720,2025-12-22 07:44:24.720,1092081.309795,702.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389464720,2025-12-22 07:44:24.720,1092081.309893,736.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389465197,2025-12-22 07:44:25.197,1092081.787006,737.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389466156,2025-12-22 07:44:26.156,1092082.746461,766.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389466156,2025-12-22 07:44:26.156,1092082.746598,771.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389467117,2025-12-22 07:44:27.117,1092083.707199,716.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389468076,2025-12-22 07:44:28.076,1092084.667055,737.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389469035,2025-12-22 07:44:29.035,1092085.626338,757.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389469036,2025-12-22 07:44:29.036,1092085.626439,766.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389470958,2025-12-22 07:44:30.958,1092087.548224,758.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389470961,2025-12-22 07:44:30.961,1092087.551104,709.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389471920,2025-12-22 07:44:31.920,1092088.509794,667.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389471920,2025-12-22 07:44:31.920,1092088.509972,725.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
1766389472879,2025-12-22 07:44:32.879,1092089.468958,736.000000,1222074421_65aa60fd2a594,1766389461254,2025-12-22 07:44:21.254
