utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766389891611,2025-12-22 07:51:31.611,1092507.551488,732.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389890969,2025-12-22 07:51:30.969,1092507.551655,743.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389891916,2025-12-22 07:51:31.916,1092508.498826,776.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389892890,2025-12-22 07:51:32.890,1092509.472923,710.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389892890,2025-12-22 07:51:32.890,1092509.472986,679.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389893846,2025-12-22 07:51:33.846,1092510.429317,684.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389894808,2025-12-22 07:51:34.808,1092511.390876,656.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389894808,2025-12-22 07:51:34.808,1092511.390942,680.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389895755,2025-12-22 07:51:35.755,1092512.338998,706.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389897207,2025-12-22 07:51:37.207,1092513.789913,670.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389897207,2025-12-22 07:51:37.207,1092513.789973,678.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389898168,2025-12-22 07:51:38.168,1092514.751478,688.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389899129,2025-12-22 07:51:39.129,1092515.712446,721.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389900089,2025-12-22 07:51:40.089,1092516.671351,756.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
1766389900089,2025-12-22 07:51:40.089,1092516.671422,728.000000,1222075128_648824c66f9c4,1766389888978,2025-12-22 07:51:28.978
