utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766390944266,2025-12-22 08:09:04.266,1093560.186353,653.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390944104,2025-12-22 08:09:04.104,1093560.667266,683.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390945061,2025-12-22 08:09:05.061,1093561.624582,702.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390945061,2025-12-22 08:09:05.061,1093561.624693,699.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390946018,2025-12-22 08:09:06.018,1093562.581393,708.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390946997,2025-12-22 08:09:06.997,1093563.560515,676.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390946997,2025-12-22 08:09:06.997,1093563.560615,673.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390947953,2025-12-22 08:09:07.953,1093564.516116,671.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390948915,2025-12-22 08:09:08.915,1093565.478010,694.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390948915,2025-12-22 08:09:08.915,1093565.478053,715.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390949873,2025-12-22 08:09:09.873,1093566.435917,722.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390950833,2025-12-22 08:09:10.833,1093567.396643,684.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390950833,2025-12-22 08:09:10.833,1093567.396678,679.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390951793,2025-12-22 08:09:11.793,1093568.356083,691.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390953235,2025-12-22 08:09:13.235,1093569.798102,735.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
1766390954193,2025-12-22 08:09:14.193,1093570.756497,784.000000,1222080902_27238da0a58f4,1766390942955,2025-12-22 08:09:02.955
