utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766391282670,2025-12-22 08:14:42.670,1093898.585976,904.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391282994,2025-12-22 08:14:42.994,1093899.551684,887.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391283954,2025-12-22 08:14:43.954,1093900.511087,909.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391285886,2025-12-22 08:14:45.886,1093902.443579,903.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391285889,2025-12-22 08:14:45.889,1093902.446525,792.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391285889,2025-12-22 08:14:45.889,1093902.446579,809.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391286828,2025-12-22 08:14:46.828,1093903.385290,825.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391287794,2025-12-22 08:14:47.794,1093904.351259,850.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391288765,2025-12-22 08:14:48.765,1093905.322209,769.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391290206,2025-12-22 08:14:50.206,1093906.763960,797.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391291167,2025-12-22 08:14:51.167,1093907.724314,837.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391291167,2025-12-22 08:14:51.167,1093907.724378,866.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
1766391292124,2025-12-22 08:14:52.124,1093908.681879,871.000000,1222081440_ad2f246a88634,1766391280846,2025-12-22 08:14:40.846
