utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766394165646,2025-12-22 09:02:45.646,1096781.508801,642.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394165963,2025-12-22 09:02:45.963,1096782.468235,688.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394165963,2025-12-22 09:02:45.963,1096782.468372,742.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394166922,2025-12-22 09:02:46.922,1096783.427840,747.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394168843,2025-12-22 09:02:48.843,1096785.348552,697.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394168847,2025-12-22 09:02:48.847,1096785.351867,715.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394168848,2025-12-22 09:02:48.848,1096785.352151,715.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394169802,2025-12-22 09:02:49.802,1096786.306720,750.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394171242,2025-12-22 09:02:51.242,1096787.746867,740.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394171242,2025-12-22 09:02:51.242,1096787.746987,725.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394172203,2025-12-22 09:02:52.203,1096788.707311,729.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394173164,2025-12-22 09:02:53.164,1096789.668225,722.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394174120,2025-12-22 09:02:54.120,1096790.625455,690.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394174120,2025-12-22 09:02:54.120,1096790.625554,658.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
1766394175082,2025-12-22 09:02:55.082,1096791.587081,684.000000,1222090244_9323d3776d304,1766394164040,2025-12-22 09:02:44.040
