utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766394413812,2025-12-22 09:06:53.812,1097029.671207,693.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394415086,2025-12-22 09:06:55.086,1097031.588076,704.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394415086,2025-12-22 09:06:55.086,1097031.588144,673.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394415090,2025-12-22 09:06:55.090,1097031.590847,705.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394416048,2025-12-22 09:06:56.048,1097032.549324,751.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394417007,2025-12-22 09:06:57.007,1097033.508198,775.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394417007,2025-12-22 09:06:57.007,1097033.508257,718.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394417966,2025-12-22 09:06:57.966,1097034.467962,750.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394418926,2025-12-22 09:06:58.926,1097035.427460,773.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394419887,2025-12-22 09:06:59.887,1097036.388665,790.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394419887,2025-12-22 09:06:59.887,1097036.388738,796.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394420848,2025-12-22 09:07:00.848,1097037.348856,725.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394421809,2025-12-22 09:07:01.809,1097038.310826,750.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394423246,2025-12-22 09:07:03.246,1097039.746925,768.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394424209,2025-12-22 09:07:04.209,1097040.710498,787.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
1766394424209,2025-12-22 09:07:04.209,1097040.710631,797.000000,1222090652_0a51747584da4,1766394412514,2025-12-22 09:06:52.514
