utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766394475732,2025-12-22 09:07:55.732,1097091.589953,733.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394475091,2025-12-22 09:07:55.091,1097091.590030,769.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394476051,2025-12-22 09:07:56.051,1097092.550028,780.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394477011,2025-12-22 09:07:57.011,1097093.510614,786.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394477012,2025-12-22 09:07:57.012,1097093.510675,723.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394477966,2025-12-22 09:07:57.966,1097094.465837,719.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394478928,2025-12-22 09:07:58.928,1097095.427998,717.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394479890,2025-12-22 09:07:59.890,1097096.389641,766.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394480851,2025-12-22 09:08:00.851,1097097.349715,806.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394481808,2025-12-22 09:08:01.808,1097098.307268,806.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394481808,2025-12-22 09:08:01.808,1097098.307340,822.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394483250,2025-12-22 09:08:03.250,1097099.749049,823.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394484208,2025-12-22 09:08:04.208,1097100.707402,757.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394485172,2025-12-22 09:08:05.172,1097101.671417,746.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394485172,2025-12-22 09:08:05.172,1097101.671490,748.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
1766394486131,2025-12-22 09:08:06.131,1097102.629865,767.000000,1222090754_5e62bb771f974,1766394474690,2025-12-22 09:07:54.690
