utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766394701816,2025-12-22 09:11:41.816,1097317.671395,756.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394701175,2025-12-22 09:11:41.175,1097317.671458,686.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394702136,2025-12-22 09:11:42.136,1097318.631962,706.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394703099,2025-12-22 09:11:43.099,1097319.595051,668.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394703099,2025-12-22 09:11:43.099,1097319.595125,644.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394704052,2025-12-22 09:11:44.052,1097320.547993,682.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394705974,2025-12-22 09:11:45.974,1097322.470092,732.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394705976,2025-12-22 09:11:45.976,1097322.471028,777.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394706918,2025-12-22 09:11:46.918,1097323.413974,780.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394706918,2025-12-22 09:11:46.918,1097323.414022,794.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394708853,2025-12-22 09:11:48.853,1097325.348915,742.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394708856,2025-12-22 09:11:48.856,1097325.351568,754.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394709816,2025-12-22 09:11:49.816,1097326.311586,758.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394709816,2025-12-22 09:11:49.816,1097326.311649,775.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394711254,2025-12-22 09:11:51.254,1097327.749790,807.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394712212,2025-12-22 09:11:52.212,1097328.707788,776.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394713178,2025-12-22 09:11:53.178,1097329.674476,718.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394713178,2025-12-22 09:11:53.178,1097329.674546,744.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394715093,2025-12-22 09:11:55.093,1097331.588995,769.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394715096,2025-12-22 09:11:55.096,1097331.591881,816.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394716053,2025-12-22 09:11:56.053,1097332.548636,821.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394717015,2025-12-22 09:11:57.015,1097333.510094,794.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394717971,2025-12-22 09:11:57.971,1097334.467211,795.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394717971,2025-12-22 09:11:57.971,1097334.467268,834.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394718935,2025-12-22 09:11:58.935,1097335.431456,847.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394719891,2025-12-22 09:11:59.891,1097336.387053,848.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394720856,2025-12-22 09:12:00.856,1097337.351336,837.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
1766394721812,2025-12-22 09:12:01.812,1097338.307597,804.000000,1222091140_869d8d38e3744,1766394700203,2025-12-22 09:11:40.203
