utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766396037693,2025-12-22 09:33:57.693,1098653.522867,688.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396038009,2025-12-22 09:33:58.009,1098654.480596,708.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396038009,2025-12-22 09:33:58.009,1098654.480656,671.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396038969,2025-12-22 09:33:58.969,1098655.440343,710.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396039931,2025-12-22 09:33:59.931,1098656.402588,720.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396040891,2025-12-22 09:34:00.891,1098657.362649,749.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396040891,2025-12-22 09:34:00.891,1098657.362709,744.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396041853,2025-12-22 09:34:01.853,1098658.323660,710.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396043291,2025-12-22 09:34:03.291,1098659.762258,725.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396044252,2025-12-22 09:34:04.252,1098660.723314,746.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396044252,2025-12-22 09:34:04.252,1098660.723389,807.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396045210,2025-12-22 09:34:05.210,1098661.681146,774.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396046172,2025-12-22 09:34:06.172,1098662.642627,697.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396046172,2025-12-22 09:34:06.172,1098662.642701,719.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396047131,2025-12-22 09:34:07.131,1098663.602119,687.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396048089,2025-12-22 09:34:08.089,1098664.560463,691.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396049050,2025-12-22 09:34:09.050,1098665.521117,728.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396049050,2025-12-22 09:34:09.050,1098665.521182,749.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396050012,2025-12-22 09:34:10.012,1098666.482913,761.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396050971,2025-12-22 09:34:10.971,1098667.442030,767.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396052893,2025-12-22 09:34:12.893,1098669.364206,774.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396052893,2025-12-22 09:34:12.893,1098669.364279,725.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396052896,2025-12-22 09:34:12.896,1098669.367139,742.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396053852,2025-12-22 09:34:13.852,1098670.323027,702.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396053852,2025-12-22 09:34:13.852,1098670.323086,712.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396055289,2025-12-22 09:34:15.289,1098671.760423,660.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396056250,2025-12-22 09:34:16.250,1098672.720456,656.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396057212,2025-12-22 09:34:17.212,1098673.683430,699.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396057212,2025-12-22 09:34:17.212,1098673.683501,705.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
1766396058172,2025-12-22 09:34:18.172,1098674.642723,734.000000,1222093356_8d2772f35d4a4,1766396036287,2025-12-22 09:33:56.287
