utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766396221538,2025-12-22 09:37:01.538,1098837.365902,778.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396222817,2025-12-22 09:37:02.817,1098839.285476,765.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396223296,2025-12-22 09:37:03.296,1098839.763612,764.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396223296,2025-12-22 09:37:03.296,1098839.763675,687.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396224252,2025-12-22 09:37:04.252,1098840.720229,685.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396225216,2025-12-22 09:37:05.216,1098841.683973,682.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396225216,2025-12-22 09:37:05.216,1098841.684138,728.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396226175,2025-12-22 09:37:06.175,1098842.643720,716.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396227137,2025-12-22 09:37:07.137,1098843.605031,711.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396227137,2025-12-22 09:37:07.137,1098843.605092,660.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396228099,2025-12-22 09:37:08.099,1098844.567379,709.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396229053,2025-12-22 09:37:09.053,1098845.520958,701.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396230017,2025-12-22 09:37:10.017,1098846.484823,727.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396230017,2025-12-22 09:37:10.017,1098846.484885,736.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396231939,2025-12-22 09:37:11.939,1098848.408550,704.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396231943,2025-12-22 09:37:11.943,1098848.411825,712.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396232894,2025-12-22 09:37:12.894,1098849.363380,713.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396232894,2025-12-22 09:37:12.894,1098849.363442,726.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396233855,2025-12-22 09:37:13.855,1098850.322878,768.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396235294,2025-12-22 09:37:15.294,1098851.762082,736.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396236256,2025-12-22 09:37:16.256,1098852.724183,776.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396237212,2025-12-22 09:37:17.212,1098853.680236,808.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396237212,2025-12-22 09:37:17.212,1098853.680306,822.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396238176,2025-12-22 09:37:18.176,1098854.643528,834.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396239138,2025-12-22 09:37:19.138,1098855.606068,828.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396240094,2025-12-22 09:37:20.094,1098856.561708,781.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396241054,2025-12-22 09:37:21.054,1098857.521380,803.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396241054,2025-12-22 09:37:21.054,1098857.521403,817.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
1766396242013,2025-12-22 09:37:22.013,1098858.480433,823.000000,1222093700_71a9e30f8f894,1766396220510,2025-12-22 09:37:00.510
