utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766397060594,2025-12-22 09:51:00.594,1099676.413455,787.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397059957,2025-12-22 09:50:59.957,1099676.416744,788.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397060910,2025-12-22 09:51:00.910,1099677.369556,842.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397061871,2025-12-22 09:51:01.871,1099678.330528,866.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397062831,2025-12-22 09:51:02.831,1099679.291183,810.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397062831,2025-12-22 09:51:02.831,1099679.291244,820.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397064269,2025-12-22 09:51:04.269,1099680.728930,816.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397065231,2025-12-22 09:51:05.231,1099681.691130,856.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397066193,2025-12-22 09:51:06.193,1099682.652381,846.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397067153,2025-12-22 09:51:07.153,1099683.612819,839.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397067153,2025-12-22 09:51:07.153,1099683.612873,718.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397068110,2025-12-22 09:51:08.110,1099684.569854,783.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397069074,2025-12-22 09:51:09.074,1099685.533216,782.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397070030,2025-12-22 09:51:10.030,1099686.489821,835.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397070989,2025-12-22 09:51:10.989,1099687.449384,780.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397070989,2025-12-22 09:51:10.989,1099687.449456,758.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397071947,2025-12-22 09:51:11.947,1099688.406922,795.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397072912,2025-12-22 09:51:12.912,1099689.371672,847.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397073872,2025-12-22 09:51:13.872,1099690.331630,857.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397074832,2025-12-22 09:51:14.832,1099691.291818,784.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397076272,2025-12-22 09:51:16.272,1099692.730864,822.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397076272,2025-12-22 09:51:16.272,1099692.730917,853.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397077231,2025-12-22 09:51:17.231,1099693.690931,849.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397078195,2025-12-22 09:51:18.195,1099694.654543,724.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
1766397079147,2025-12-22 09:51:19.147,1099695.606768,791.000000,1222095055_40fe09a82fd04,1766397055976,2025-12-22 09:50:55.976
