utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766397151787,2025-12-22 09:52:31.787,1099767.596939,723.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397151145,2025-12-22 09:52:31.145,1099767.597044,760.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397152105,2025-12-22 09:52:32.105,1099768.556730,771.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397153080,2025-12-22 09:52:33.080,1099769.531788,805.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397154039,2025-12-22 09:52:34.039,1099770.491159,780.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397154982,2025-12-22 09:52:34.982,1099771.433729,746.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397154982,2025-12-22 09:52:34.982,1099771.433786,760.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397155946,2025-12-22 09:52:35.946,1099772.398519,772.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397156919,2025-12-22 09:52:36.919,1099773.370596,795.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397157880,2025-12-22 09:52:37.880,1099774.332256,739.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397157880,2025-12-22 09:52:37.880,1099774.332317,748.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397158835,2025-12-22 09:52:38.835,1099775.287490,778.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397160282,2025-12-22 09:52:40.282,1099776.733477,812.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397161237,2025-12-22 09:52:41.237,1099777.689571,803.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397161237,2025-12-22 09:52:41.237,1099777.689603,798.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397162197,2025-12-22 09:52:42.197,1099778.649030,712.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397163160,2025-12-22 09:52:43.160,1099779.612552,710.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397164118,2025-12-22 09:52:44.118,1099780.569410,764.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397165080,2025-12-22 09:52:45.080,1099781.531899,795.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397165080,2025-12-22 09:52:45.080,1099781.531955,835.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397166042,2025-12-22 09:52:46.042,1099782.493046,833.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397167001,2025-12-22 09:52:47.001,1099783.452302,771.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397167962,2025-12-22 09:52:47.962,1099784.413950,817.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
1766397168918,2025-12-22 09:52:48.918,1099785.369651,862.000000,1222095228_d18299776d734,1766397148988,2025-12-22 09:52:28.988
