utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766397284765,2025-12-22 09:54:44.765,1099900.573468,754.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397284127,2025-12-22 09:54:44.127,1099900.576457,682.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397284127,2025-12-22 09:54:44.127,1099900.576507,732.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397285083,2025-12-22 09:54:45.083,1099901.532705,729.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397286043,2025-12-22 09:54:46.043,1099902.492333,769.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397287002,2025-12-22 09:54:47.002,1099903.451360,736.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397287002,2025-12-22 09:54:47.002,1099903.451433,729.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397287961,2025-12-22 09:54:47.961,1099904.410210,745.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397288919,2025-12-22 09:54:48.919,1099905.369346,785.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397289884,2025-12-22 09:54:49.884,1099906.333656,805.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397289884,2025-12-22 09:54:49.884,1099906.333743,817.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397290842,2025-12-22 09:54:50.842,1099907.292361,765.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397292281,2025-12-22 09:54:52.281,1099908.730525,753.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397293242,2025-12-22 09:54:53.242,1099909.691814,780.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397294202,2025-12-22 09:54:54.202,1099910.651820,819.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397294203,2025-12-22 09:54:54.203,1099910.651946,814.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397295162,2025-12-22 09:54:55.162,1099911.611503,777.000000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
