utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766397563655,2025-12-22 09:59:23.655,1100179.456808,767.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397563012,2025-12-22 09:59:23.012,1100179.456893,782.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397563972,2025-12-22 09:59:23.972,1100180.416562,834.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397564932,2025-12-22 09:59:24.932,1100181.376948,818.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397565890,2025-12-22 09:59:25.890,1100182.334312,770.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397566853,2025-12-22 09:59:26.853,1100183.296754,803.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397566853,2025-12-22 09:59:26.853,1100183.296812,832.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397568290,2025-12-22 09:59:28.290,1100184.734180,849.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397570212,2025-12-22 09:59:30.212,1100186.656462,776.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397570215,2025-12-22 09:59:30.215,1100186.659294,799.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397571170,2025-12-22 09:59:31.170,1100187.614465,832.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397572129,2025-12-22 09:59:32.129,1100188.572904,862.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397573095,2025-12-22 09:59:33.095,1100189.538481,853.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397573095,2025-12-22 09:59:33.095,1100189.538541,842.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397575012,2025-12-22 09:59:35.012,1100191.456317,850.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397575015,2025-12-22 09:59:35.015,1100191.459102,770.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397575015,2025-12-22 09:59:35.015,1100191.459152,700.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397575974,2025-12-22 09:59:35.974,1100192.417568,725.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397576932,2025-12-22 09:59:36.932,1100193.376269,704.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397577892,2025-12-22 09:59:37.892,1100194.336796,776.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397578852,2025-12-22 09:59:38.852,1100195.295174,819.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397578852,2025-12-22 09:59:38.852,1100195.295233,816.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397580294,2025-12-22 09:59:40.294,1100196.737267,825.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397581249,2025-12-22 09:59:41.249,1100197.693339,785.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397582212,2025-12-22 09:59:42.212,1100198.656135,811.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397583171,2025-12-22 09:59:43.171,1100199.614468,850.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397584130,2025-12-22 09:59:44.130,1100200.574188,860.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
1766397584130,2025-12-22 09:59:44.130,1100200.574243,811.000000,1222095920_43f78ce66d704,1766397560304,2025-12-22 09:59:20.304
