utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766397649573,2025-12-22 10:00:49.573,1100265.374573,730.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397649895,2025-12-22 10:00:49.895,1100266.337065,763.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397649895,2025-12-22 10:00:49.895,1100266.337135,746.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397650853,2025-12-22 10:00:50.853,1100267.295364,744.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397652293,2025-12-22 10:00:52.293,1100268.736493,787.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397653254,2025-12-22 10:00:53.254,1100269.697776,828.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397654211,2025-12-22 10:00:54.211,1100270.654107,813.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397654211,2025-12-22 10:00:54.211,1100270.654176,778.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397655173,2025-12-22 10:00:55.173,1100271.616303,811.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397656134,2025-12-22 10:00:56.134,1100272.576239,817.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397657095,2025-12-22 10:00:57.095,1100273.537229,828.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397658053,2025-12-22 10:00:58.053,1100274.495234,790.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397658053,2025-12-22 10:00:58.053,1100274.495304,799.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397659012,2025-12-22 10:00:59.012,1100275.454833,818.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397659972,2025-12-22 10:00:59.972,1100276.415411,831.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397660931,2025-12-22 10:01:00.931,1100277.373996,831.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397661889,2025-12-22 10:01:01.889,1100278.331145,796.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397662855,2025-12-22 10:01:02.855,1100279.297422,826.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397662855,2025-12-22 10:01:02.855,1100279.297479,836.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397664297,2025-12-22 10:01:04.297,1100280.739509,838.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397665255,2025-12-22 10:01:05.255,1100281.697096,807.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397666211,2025-12-22 10:01:06.211,1100282.653320,784.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397666211,2025-12-22 10:01:06.211,1100282.653373,771.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397667173,2025-12-22 10:01:07.173,1100283.616256,751.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397668135,2025-12-22 10:01:08.135,1100284.578350,799.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397669094,2025-12-22 10:01:09.094,1100285.536282,818.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
1766397670054,2025-12-22 10:01:10.054,1100286.496721,804.000000,1222100046_1645a7660f634,1766397646127,2025-12-22 10:00:46.127
