utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766398249588,2025-12-22 10:10:49.588,1100865.378427,722.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398249909,2025-12-22 10:10:49.909,1100866.340393,770.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398250867,2025-12-22 10:10:50.867,1100867.299101,794.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398250867,2025-12-22 10:10:50.867,1100867.299167,794.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398252309,2025-12-22 10:10:52.309,1100868.740981,787.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398253265,2025-12-22 10:10:53.265,1100869.696104,770.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398254231,2025-12-22 10:10:54.231,1100870.663039,795.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398254231,2025-12-22 10:10:54.231,1100870.663314,795.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398255174,2025-12-22 10:10:55.174,1100871.605556,797.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398256147,2025-12-22 10:10:56.147,1100872.579272,774.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398257110,2025-12-22 10:10:57.110,1100873.541668,767.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398258066,2025-12-22 10:10:58.066,1100874.498084,752.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398258066,2025-12-22 10:10:58.066,1100874.498137,775.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398259990,2025-12-22 10:10:59.990,1100876.421740,778.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398259994,2025-12-22 10:10:59.994,1100876.424972,763.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398260936,2025-12-22 10:11:00.936,1100877.366760,765.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398260936,2025-12-22 10:11:00.936,1100877.366819,694.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398261909,2025-12-22 10:11:01.909,1100878.339759,765.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398262871,2025-12-22 10:11:02.871,1100879.302693,771.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398264295,2025-12-22 10:11:04.295,1100880.726614,807.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398264295,2025-12-22 10:11:04.295,1100880.726694,750.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398265267,2025-12-22 10:11:05.267,1100881.698196,792.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398266227,2025-12-22 10:11:06.227,1100882.658509,795.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398267189,2025-12-22 10:11:07.189,1100883.620235,796.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398268138,2025-12-22 10:11:08.138,1100884.569369,792.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398268138,2025-12-22 10:11:08.138,1100884.569425,759.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398269107,2025-12-22 10:11:09.107,1100885.539173,799.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
1766398270052,2025-12-22 10:11:10.052,1100886.482845,804.000000,1222101046_d60855268cb04,1766398246750,2025-12-22 10:10:46.750
