utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766464653935,2025-12-23 04:37:33.935,1129496.522721,674.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464653294,2025-12-23 04:37:33.294,1129496.522776,661.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464654258,2025-12-23 04:37:34.258,1129497.485416,642.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464655217,2025-12-23 04:37:35.217,1129498.444592,653.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464655217,2025-12-23 04:37:35.217,1129498.444648,649.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464657138,2025-12-23 04:37:37.138,1129500.365314,684.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464657140,2025-12-23 04:37:37.140,1129500.368348,711.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464658097,2025-12-23 04:37:38.097,1129501.325671,712.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464658098,2025-12-23 04:37:38.098,1129501.325743,712.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464659057,2025-12-23 04:37:39.057,1129502.285056,675.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464659057,2025-12-23 04:37:39.057,1129502.285113,665.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464660018,2025-12-23 04:37:40.018,1129503.246524,654.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464660975,2025-12-23 04:37:40.975,1129504.203158,656.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464661939,2025-12-23 04:37:41.939,1129505.166949,671.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464661939,2025-12-23 04:37:41.939,1129505.167010,689.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464662901,2025-12-23 04:37:42.901,1129506.128466,690.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464664336,2025-12-23 04:37:44.336,1129507.563994,658.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
1766464664336,2025-12-23 04:37:44.336,1129507.564147,652.000000,1223043732_aec0a8981e1e4,1766464652680,2025-12-23 04:37:32.680
