utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766464884820,2025-12-23 04:41:24.820,1129727.403612,626.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464885140,2025-12-23 04:41:25.140,1129728.364651,618.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464885140,2025-12-23 04:41:25.140,1129728.364730,614.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464886101,2025-12-23 04:41:26.101,1129729.324957,603.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464886101,2025-12-23 04:41:26.101,1129729.325013,616.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464887063,2025-12-23 04:41:27.063,1129730.287032,609.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464888015,2025-12-23 04:41:28.015,1129731.239594,619.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464888015,2025-12-23 04:41:28.015,1129731.239657,640.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464888983,2025-12-23 04:41:28.983,1129732.207036,662.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464889926,2025-12-23 04:41:29.926,1129733.150678,639.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464889926,2025-12-23 04:41:29.926,1129733.150743,641.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464890902,2025-12-23 04:41:30.902,1129734.126246,646.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464891850,2025-12-23 04:41:31.850,1129735.073271,651.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464891850,2025-12-23 04:41:31.850,1129735.073375,667.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464893304,2025-12-23 04:41:33.304,1129736.528113,677.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464894261,2025-12-23 04:41:34.261,1129737.484431,660.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464894261,2025-12-23 04:41:34.261,1129737.484496,651.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464895224,2025-12-23 04:41:35.224,1129738.447285,624.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
1766464895224,2025-12-23 04:41:35.224,1129738.447347,639.000000,1223044123_887c63215c684,1766464883886,2025-12-23 04:41:23.886
