utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766468304912,2025-12-23 05:38:24.912,1133089.196528,656.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468304271,2025-12-23 05:38:24.271,1133089.196659,655.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468305708,2025-12-23 05:38:25.708,1133090.633792,631.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468306669,2025-12-23 05:38:26.669,1133091.594068,630.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468306669,2025-12-23 05:38:26.669,1133091.594170,638.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468307630,2025-12-23 05:38:27.630,1133092.556294,640.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468308589,2025-12-23 05:38:28.589,1133093.514872,656.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468308589,2025-12-23 05:38:28.589,1133093.515002,668.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468309548,2025-12-23 05:38:29.548,1133094.474022,667.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468310495,2025-12-23 05:38:30.495,1133095.420459,646.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468310495,2025-12-23 05:38:30.495,1133095.420561,632.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468311470,2025-12-23 05:38:31.470,1133096.395739,623.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468312416,2025-12-23 05:38:32.416,1133097.341752,641.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468312416,2025-12-23 05:38:32.416,1133097.341855,647.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468313391,2025-12-23 05:38:33.391,1133098.316683,687.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468314343,2025-12-23 05:38:34.343,1133099.267993,700.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468314343,2025-12-23 05:38:34.343,1133099.268142,679.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468315312,2025-12-23 05:38:35.312,1133100.237799,661.000000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
