utc_ms,lsl_ts,rr
1765771156618,835120.804210,673.000000
1765771156939,835121.767204,688.000000
1765771156939,835121.767264,704.000000
1765771157897,835122.724229,712.000000
1765771158860,835123.687857,704.000000
1765771158860,835123.687935,703.000000
1765771159819,835124.646084,698.000000
1765771160780,835125.607549,687.000000
1765771161740,835126.567469,680.000000
1765771161740,835126.567526,675.000000
1765771162700,835127.527701,672.000000
1765771162700,835127.527768,662.000000
1765771163660,835128.486769,670.000000
1765771164620,835129.446878,673.000000
