timestamp,rr
728637.682,804.000
728638.641,810.000
728638.641,813.000
728640.083,761.000
728641.035,816.000
728642.001,826.000
728642.949,821.000
728643.921,770.000
728643.922,821.000
728644.880,852.000
728645.841,844.000
728646.801,781.000
728648.705,839.000
728648.705,833.000
728648.709,798.000
728649.677,759.000
728650.625,755.000
728650.625,747.000
728652.082,725.000
728653.041,744.000
728654.000,736.000
728654.000,766.000
728654.959,803.000
728655.922,849.000
728656.881,765.000
728658.803,773.000
728658.803,819.000
728658.806,831.000
728659.760,783.000
