utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765788427301,851164.414712,729.000000,20251215T084705Z_74fdd9c,1765788425764
1765788427619,851165.373875,757.000000,20251215T084705Z_74fdd9c,1765788425764
1765788429541,851167.295818,776.000000,20251215T084705Z_74fdd9c,1765788425764
1765788429587,851167.342093,782.000000,20251215T084705Z_74fdd9c,1765788425764
1765788429587,851167.342154,774.000000,20251215T084705Z_74fdd9c,1765788425764
1765788430978,851168.733186,738.000000,20251215T084705Z_74fdd9c,1765788425764
1765788431942,851169.696366,762.000000,20251215T084705Z_74fdd9c,1765788425764
1765788432901,851170.656237,762.000000,20251215T084705Z_74fdd9c,1765788425764
1765788432901,851170.656295,748.000000,20251215T084705Z_74fdd9c,1765788425764
1765788433860,851171.615080,719.000000,20251215T084705Z_74fdd9c,1765788425764
1765788434819,851172.573920,726.000000,20251215T084705Z_74fdd9c,1765788425764
1765788434819,851172.574002,726.000000,20251215T084705Z_74fdd9c,1765788425764
