utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1765788954356,2025-12-15 08:55:54.356,851691.458837,687.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788953714,2025-12-15 08:55:53.714,851691.458943,706.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788954669,2025-12-15 08:55:54.669,851692.414487,691.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788955632,2025-12-15 08:55:55.632,851693.377288,666.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788955632,2025-12-15 08:55:55.632,851693.377345,683.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788956592,2025-12-15 08:55:56.592,851694.337277,670.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788957554,2025-12-15 08:55:57.554,851695.299401,673.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788957554,2025-12-15 08:55:57.554,851695.299456,682.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788958994,2025-12-15 08:55:58.994,851696.739340,663.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788958994,2025-12-15 08:55:58.994,851696.739409,658.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788959953,2025-12-15 08:55:59.953,851697.697667,613.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788960913,2025-12-15 08:56:00.913,851698.658032,607.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788960913,2025-12-15 08:56:00.913,851698.658086,602.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788961873,2025-12-15 08:56:01.873,851699.617910,591.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788961873,2025-12-15 08:56:01.873,851699.617969,575.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
1765788962832,2025-12-15 08:56:02.832,851700.576777,605.000000,20251215T085553Z_1df2cb7,1765788953261,2025-12-15 08:55:53.261
