utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766397249083,2025-12-22 09:54:09.083,1099865.532736,785.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397250043,2025-12-22 09:54:10.043,1099866.491807,792.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397250043,2025-12-22 09:54:10.043,1099866.491868,706.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397251001,2025-12-22 09:54:11.001,1099867.451097,748.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397251963,2025-12-22 09:54:11.963,1099868.412256,735.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397252923,2025-12-22 09:54:12.923,1099869.372477,761.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397252923,2025-12-22 09:54:12.923,1099869.372536,773.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397253885,2025-12-22 09:54:13.885,1099870.334173,795.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397254842,2025-12-22 09:54:14.842,1099871.290960,733.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397256284,2025-12-22 09:54:16.284,1099872.733435,703.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397256284,2025-12-22 09:54:16.284,1099872.733546,776.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397257242,2025-12-22 09:54:17.242,1099873.691303,788.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397258203,2025-12-22 09:54:18.203,1099874.652335,777.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397259164,2025-12-22 09:54:19.164,1099875.613556,729.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397259164,2025-12-22 09:54:19.164,1099875.613624,754.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397260124,2025-12-22 09:54:20.124,1099876.573446,796.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397261081,2025-12-22 09:54:21.081,1099877.530781,815.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397262045,2025-12-22 09:54:22.045,1099878.494704,786.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397262046,2025-12-22 09:54:22.046,1099878.494821,741.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397263002,2025-12-22 09:54:23.002,1099879.451331,675.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397263961,2025-12-22 09:54:23.961,1099880.410438,715.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397264920,2025-12-22 09:54:24.920,1099881.369066,730.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397265882,2025-12-22 09:54:25.882,1099882.330784,777.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
1766397265882,2025-12-22 09:54:25.882,1099882.330824,800.000000,20251222T095408Z_fb301a8,1766397250404,2025-12-22 09:54:10.404
