utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1766397296121,2025-12-22 09:54:56.121,1099912.570828,693.000000,20251222T095455Z_c398ffb,1766397297155,2025-12-22 09:54:57.155
1766397297083,2025-12-22 09:54:57.083,1099913.532687,771.000000,20251222T095455Z_c398ffb,1766397297155,2025-12-22 09:54:57.155
1766397298040,2025-12-22 09:54:58.040,1099914.489158,781.000000,20251222T095455Z_c398ffb,1766397297155,2025-12-22 09:54:57.155
1766397298040,2025-12-22 09:54:58.040,1099914.489213,837.000000,20251222T095455Z_c398ffb,1766397297155,2025-12-22 09:54:57.155
1766397299002,2025-12-22 09:54:59.002,1099915.451343,802.000000,20251222T095455Z_c398ffb,1766397297155,2025-12-22 09:54:57.155
1766397299961,2025-12-22 09:54:59.961,1099916.410616,757.000000,20251222T095455Z_c398ffb,1766397297155,2025-12-22 09:54:57.155
1766397300921,2025-12-22 09:55:00.921,1099917.370935,798.000000,20251222T095455Z_c398ffb,1766397297155,2025-12-22 09:54:57.155
1766397300921,2025-12-22 09:55:00.921,1099917.370998,815.000000,20251222T095455Z_c398ffb,1766397297155,2025-12-22 09:54:57.155
1766397301882,2025-12-22 09:55:01.882,1099918.330688,837.000000,20251222T095455Z_c398ffb,1766397297155,2025-12-22 09:54:57.155
1766397302844,2025-12-22 09:55:02.844,1099919.293176,757.000000,20251222T095455Z_c398ffb,1766397297155,2025-12-22 09:54:57.155
1766397304285,2025-12-22 09:55:04.285,1099920.734404,768.000000,20251222T095455Z_c398ffb,1766397297155,2025-12-22 09:54:57.155
