utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765785799232,848536.393580,676.000000,no_session,
1765785798591,848536.393680,688.000000,no_session,
1765785800512,848538.314661,711.000000,no_session,
1765785800514,848538.317724,679.000000,no_session,
1765785800514,848538.317772,688.000000,no_session,
1765785801951,848539.754040,711.000000,no_session,
1765785802909,848540.711593,744.000000,no_session,
1765785803866,848541.669015,766.000000,no_session,
1765785803867,848541.669070,740.000000,no_session,
1765785805789,848543.591376,742.000000,no_session,
1765785805790,848543.592560,759.000000,no_session,
1765785806748,848544.550303,771.000000,no_session,
1765785806748,848544.550364,750.000000,no_session,
1765785807707,848545.509885,707.000000,no_session,
1765785808667,848546.470554,731.000000,no_session,
1765785808668,848546.470626,727.000000,no_session,
1765785809631,848547.432773,729.000000,no_session,
