utc_ms,lsl_ts,rr,session,session_start_utc_ms
1765783327162,846064.367726,700.000000,no_session,
1765783327484,846065.330409,743.000000,no_session,
1765783328925,846066.770757,719.000000,no_session,
1765783328925,846066.770817,751.000000,no_session,
1765783330845,846068.690715,781.000000,no_session,
1765783331806,846069.652401,757.000000,no_session,
1765783332766,846070.612325,1469.000000,no_session,
1765783332766,846070.612383,775.000000,no_session,
1765783333726,846071.571951,794.000000,no_session,
1765783334685,846072.530941,816.000000,no_session,
1765783335644,846073.489936,787.000000,no_session,
1765783335644,846073.489991,758.000000,no_session,
1765783336609,846074.454512,774.000000,no_session,
1765783337567,846075.412990,787.000000,no_session,
1765783338527,846076.371746,800.000000,no_session,
1765783339489,846077.334167,812.000000,no_session,
1765783339489,846077.334225,752.000000,no_session,
1765783340924,846078.769885,777.000000,no_session,
1765783341887,846079.733953,776.000000,no_session,
1765783342847,846080.692893,771.000000,no_session,
1765783342847,846080.692955,787.000000,no_session,
1765783343802,846081.647965,748.000000,no_session,
1765783344767,846082.613326,746.000000,no_session,
1765783345727,846083.572816,746.000000,no_session,
1765783345727,846083.572942,754.000000,no_session,
1765783346691,846084.536490,755.000000,no_session,
1765783347644,846085.489447,734.000000,no_session,
1765783347644,846085.489596,690.000000,no_session,
1765783348609,846086.454140,700.000000,no_session,
1765783349568,846087.413986,708.000000,no_session,
1765783350522,846088.367573,726.000000,no_session,
1765783350522,846088.367589,763.000000,no_session,
1765783351482,846089.328154,772.000000,no_session,
1765783352927,846090.772476,743.000000,no_session,
1765783354847,846092.692869,777.000000,no_session,
1765783354850,846092.696288,785.000000,no_session,
1765783354850,846092.696337,789.000000,no_session,
1765783355806,846093.652377,787.000000,no_session,
1765783356764,846094.609365,739.000000,no_session,
1765783357727,846095.572610,764.000000,no_session,
1765783357728,846095.572766,756.000000,no_session,
1765783360608,846098.453925,752.000000,no_session,
1765783360609,846098.455301,752.000000,no_session,
1765783360609,846098.455319,1436.000000,no_session,
1765783361565,846099.411387,723.000000,no_session,
1765783362526,846100.371925,733.000000,no_session,
