utc_ms,utc_iso,lsl_ts,rr,session,session_start_utc_ms,session_start_utc_iso
1769492726827,2026-01-27 05:45:26.827,189166.482910,668.000000,no_session,,
1769492726189,2026-01-27 05:45:26.189,189166.485940,644.000000,no_session,,
1769492726189,2026-01-27 05:45:26.189,189166.485991,635.000000,no_session,,
1769492728100,2026-01-27 05:45:28.100,189168.397078,651.000000,no_session,,
1769492728104,2026-01-27 05:45:28.104,189168.400692,656.000000,no_session,,
1769492728104,2026-01-27 05:45:28.104,189168.400751,685.000000,no_session,,
1769492729557,2026-01-27 05:45:29.557,189169.853679,684.000000,no_session,,
1769492730502,2026-01-27 05:45:30.502,189170.797818,674.000000,no_session,,
1769492730502,2026-01-27 05:45:30.502,189170.797874,681.000000,no_session,,
1769492731479,2026-01-27 05:45:31.479,189171.775417,699.000000,no_session,,
1769492732433,2026-01-27 05:45:32.433,189172.729828,704.000000,no_session,,
1769492733377,2026-01-27 05:45:33.377,189173.674801,706.000000,no_session,,
1769492733377,2026-01-27 05:45:33.377,189173.674826,688.000000,no_session,,
1769492734354,2026-01-27 05:45:34.354,189174.651430,715.000000,no_session,,
1769492735305,2026-01-27 05:45:35.305,189175.601812,728.000000,no_session,,
1769492735305,2026-01-27 05:45:35.305,189175.601869,734.000000,no_session,,
1769492736276,2026-01-27 05:45:36.276,189176.572189,691.000000,no_session,,
1769492737235,2026-01-27 05:45:37.235,189177.531963,696.000000,no_session,,
1769492737235,2026-01-27 05:45:37.235,189177.532101,697.000000,no_session,,
1769492739142,2026-01-27 05:45:39.142,189179.439403,700.000000,no_session,,
1769492739142,2026-01-27 05:45:39.142,189179.439459,688.000000,no_session,,
1769492740118,2026-01-27 05:45:40.118,189180.414986,1277.000000,no_session,,
1769492741557,2026-01-27 05:45:41.557,189181.853081,612.000000,no_session,,
1769492741557,2026-01-27 05:45:41.557,189181.853145,606.000000,no_session,,
1769492742515,2026-01-27 05:45:42.515,189182.810892,576.000000,no_session,,
1769492742515,2026-01-27 05:45:42.515,189182.810949,584.000000,no_session,,
1769492743479,2026-01-27 05:45:43.479,189183.774817,599.000000,no_session,,
1769492743479,2026-01-27 05:45:43.479,189183.774873,585.000000,no_session,,
1769492744435,2026-01-27 05:45:44.435,189184.731856,598.000000,no_session,,
1769492745398,2026-01-27 05:45:45.398,189185.695171,613.000000,no_session,,
1769492745398,2026-01-27 05:45:45.398,189185.695272,607.000000,no_session,,
