t,ox,oy,oz,dx,dy,dz
2983.884,-0.6162,0.5093,-0.0505,0.0634,0.0198,0.9978
2983.901,-0.6172,0.5096,-0.0503,0.0578,0.013,0.9982
2983.918,-0.6174,0.5093,-0.0498,0.0477,0.0071,0.9988
2983.934,-0.6178,0.5095,-0.0487,0.0419,0.0018,0.9991
2983.95,-0.6181,0.5091,-0.0483,0.0366,-0.0036,0.9993
2983.968,-0.6187,0.5093,-0.048,0.0271,-0.0068,0.9996
2983.985,-0.6187,0.5091,-0.0474,0.0175,-0.0134,0.9998
2984.001,-0.6187,0.5096,-0.0463,0.0146,-0.022,0.9997
2984.018,-0.6185,0.5096,-0.0456,0.0159,-0.029,0.9995
2984.034,-0.6187,0.5096,-0.0452,0.0154,-0.036,0.9992
2984.051,-0.6193,0.5098,-0.0443,0.0121,-0.039,0.9992
2984.067,-0.6194,0.5103,-0.0431,0.0094,-0.0409,0.9991
2984.083,-0.6197,0.5102,-0.0435,0.0094,-0.0601,0.9981
2984.1,-0.6203,0.5101,-0.0451,0.0083,-0.0968,0.9953
2984.117,-0.6206,0.5117,-0.0478,0.0053,-0.1697,0.9855
2984.134,-0.6214,0.5162,-0.0396,-0.002,-0.1247,0.9922
2984.15,-0.6221,0.5122,-0.0368,-0.012,-0.0714,0.9974
2984.167,-0.6226,0.5093,-0.0391,-0.0033,-0.0948,0.9955
2984.184,-0.6234,0.5118,-0.0377,0.0012,-0.1231,0.9924
2984.2,-0.6234,0.5138,-0.0343,-0.0093,-0.1061,0.9943
2984.217,-0.6225,0.5122,-0.0318,-0.0076,-0.0908,0.9958
2984.234,-0.6231,0.5123,-0.0305,0.0042,-0.1033,0.9946
2984.251,-0.6239,0.5144,-0.0282,0.0035,-0.1006,0.9949
2984.268,-0.6247,0.515,-0.0265,-0.0023,-0.0932,0.9956
2984.283,-0.6247,0.5148,-0.0246,-0.0043,-0.0999,0.995
2984.301,-0.6247,0.5153,-0.0219,-0.0016,-0.0993,0.9951
2984.317,-0.6244,0.5147,-0.0199,0.0032,-0.0976,0.9952
2984.334,-0.6247,0.5159,-0.0181,0.0011,-0.0993,0.9951
2984.351,-0.6244,0.5168,-0.0155,-0.0019,-0.0916,0.9958
2984.367,-0.6236,0.5152,-0.0135,0.0049,-0.0942,0.9955
2984.384,-0.6236,0.5151,-0.0131,0.011,-0.126,0.992
2984.401,-0.6237,0.5164,-0.0118,0.0029,-0.1434,0.9897
2984.417,-0.6229,0.5161,-0.0094,-0.0035,-0.1385,0.9904
2984.434,-0.6219,0.5142,-0.007,0.0051,-0.1397,0.9902
2984.451,-0.6224,0.5142,-0.0063,0.0198,-0.165,0.9861
2984.468,-0.6228,0.5151,-0.005,0.019,-0.1779,0.9839
2984.484,-0.6226,0.5158,-0.0033,0.0126,-0.1714,0.9851
2984.501,-0.6215,0.5149,-0.0005,0.0171,-0.1654,0.9861
2984.518,-0.6215,0.5146,0.0002,0.0252,-0.162,0.9865
2984.534,-0.6209,0.5143,0.0008,0.0315,-0.1665,0.9855
2984.55,-0.6213,0.5153,0.0025,0.036,-0.1697,0.9848
2984.567,-0.622,0.5169,0.003,0.0321,-0.1658,0.9856
2984.584,-0.6217,0.5171,0.0053,0.0304,-0.1561,0.9873
2984.601,-0.6216,0.5169,0.0067,0.0326,-0.1504,0.9881
2984.618,-0.6211,0.5162,0.0082,0.0368,-0.1496,0.9881
2984.635,-0.6212,0.5155,0.0079,0.0383,-0.167,0.9852
2984.651,-0.6214,0.517,0.0079,0.0316,-0.1846,0.9823
2984.67,-0.6212,0.5184,0.0097,0.0294,-0.1853,0.9822
2984.685,-0.621,0.5182,0.0119,0.0305,-0.1682,0.9853
2984.703,-0.6203,0.5164,0.0129,0.0366,-0.1604,0.9864
2984.723,-0.6205,0.5171,0.0119,0.0383,-0.1775,0.9834
2984.74,-0.6195,0.5172,0.0139,0.0376,-0.1708,0.9846
2984.758,-0.6195,0.5169,0.0153,0.0396,-0.1626,0.9859
2984.773,-0.6194,0.5161,0.0157,0.0395,-0.1616,0.9861
2984.787,-0.6195,0.5168,0.0168,0.0384,-0.1563,0.987
2984.801,-0.6193,0.5167,0.0173,0.0398,-0.1549,0.9871
2984.818,-0.6187,0.5168,0.0176,0.0384,-0.1506,0.9878
2984.834,-0.6182,0.5166,0.0186,0.0401,-0.1403,0.9893
2984.852,-0.6186,0.5171,0.0198,0.0413,-0.13,0.9906
2984.873,-0.6186,0.5165,0.0197,0.0381,-0.1255,0.9914
2984.892,-0.6181,0.5168,0.0202,0.0354,-0.1184,0.9923
2984.907,-0.6182,0.5179,0.0211,0.0349,-0.1104,0.9933
2984.923,-0.6183,0.5184,0.0214,0.0367,-0.1044,0.9939
2984.937,-0.6182,0.518,0.022,0.0379,-0.0986,0.9944
2984.951,-0.6182,0.5172,0.0212,0.0368,-0.0982,0.9945
2984.968,-0.6183,0.5168,0.021,0.0323,-0.1147,0.9929
2984.986,-0.6179,0.5178,0.021,0.0261,-0.12,0.9924
2985.002,-0.6181,0.5178,0.0224,0.0289,-0.1111,0.9934
2985.019,-0.6186,0.5179,0.0216,0.0299,-0.1168,0.9927
2985.034,-0.6183,0.5166,0.0211,0.032,-0.1191,0.9924
2985.052,-0.6177,0.5166,0.0213,0.0266,-0.1218,0.9922
2985.069,-0.6179,0.5178,0.0222,0.0222,-0.1178,0.9928
2985.084,-0.6178,0.5173,0.0228,0.019,-0.1082,0.9939
2985.101,-0.6177,0.5162,0.023,0.0262,-0.1119,0.9934
2985.117,-0.6182,0.5175,0.0227,0.025,-0.1057,0.9941
2985.133,-0.6181,0.5175,0.0229,0.0217,-0.0986,0.9949
2985.151,-0.6174,0.5172,0.0237,0.0216,-0.0918,0.9955
2985.167,-0.6178,0.5171,0.0237,0.019,-0.0888,0.9959
2985.183,-0.6177,0.5171,0.0242,0.018,-0.0849,0.9962
2985.2,-0.6176,0.5169,0.0248,0.0201,-0.0774,0.9968
2985.218,-0.6175,0.5166,0.0249,0.0237,-0.0747,0.9969
2985.235,-0.6173,0.5173,0.025,0.0234,-0.0699,0.9973
2985.251,-0.6171,0.5174,0.0251,0.0215,-0.0639,0.9977
2985.268,-0.6173,0.5178,0.0259,0.022,-0.0546,0.9983
2985.284,-0.6168,0.5164,0.0264,0.0247,-0.0479,0.9985
2985.302,-0.6164,0.5167,0.0255,0.0268,-0.0555,0.9981
2985.319,-0.6161,0.5173,0.025,0.024,-0.058,0.998
2985.335,-0.6156,0.5177,0.0256,0.0235,-0.0545,0.9982
2985.354,-0.6148,0.5174,0.0259,0.03,-0.0502,0.9983
2985.368,-0.6148,0.517,0.0255,0.0335,-0.0471,0.9983
2985.384,-0.6144,0.5167,0.0259,0.0355,-0.0476,0.9982
2985.4,-0.6151,0.5171,0.0247,0.0323,-0.0485,0.9983
2985.418,-0.6149,0.5181,0.0249,0.0299,-0.045,0.9985
2985.433,-0.6148,0.5178,0.0248,0.0301,-0.04,0.9987
2985.45,-0.6146,0.5176,0.025,0.0314,-0.0366,0.9988
2985.467,-0.6143,0.5176,0.0262,0.031,-0.029,0.9991
2985.484,-0.6141,0.5173,0.025,0.0299,-0.0257,0.9992
2985.501,-0.6141,0.5171,0.0244,0.0257,-0.0239,0.9994
2985.518,-0.6142,0.5178,0.025,0.0258,-0.0223,0.9994
2985.535,-0.6144,0.5175,0.0245,0.0249,-0.0216,0.9995
2985.551,-0.6143,0.5175,0.0244,0.0244,-0.024,0.9994
2985.567,-0.614,0.5174,0.0247,0.0221,-0.0238,0.9995
2985.584,-0.6139,0.5176,0.0244,0.0203,-0.0206,0.9996
2985.601,-0.6136,0.5178,0.0251,0.0211,-0.017,0.9996
2985.617,-0.6134,0.5177,0.0255,0.023,-0.0121,0.9997
2985.634,-0.6131,0.5172,0.0252,0.0249,-0.0077,0.9997
2985.651,-0.6128,0.5168,0.0245,0.026,-0.0081,0.9996
2985.667,-0.6126,0.517,0.0244,0.0287,-0.0139,0.9995
2985.684,-0.6124,0.5175,0.024,0.0268,-0.0154,0.9995
2985.7,-0.6116,0.5192,0.0243,0.0294,-0.0135,0.9995
2985.718,-0.6111,0.5181,0.0236,0.0301,-0.0074,0.9995
2985.736,-0.6105,0.5181,0.0239,0.0315,-0.004,0.9995
2985.751,-0.6101,0.518,0.0231,0.0315,-0.0064,0.9995
2985.768,-0.6095,0.5184,0.0231,0.0325,-0.0055,0.9995
2985.784,-0.609,0.5184,0.023,0.0329,-0.0021,0.9995
2985.801,-0.6085,0.5183,0.0225,0.033,-0.0019,0.9995
2985.818,-0.6081,0.5182,0.0224,0.0321,-0.0022,0.9995
2985.834,-0.6075,0.5184,0.0224,0.0306,-0.0013,0.9995
2985.851,-0.6071,0.5183,0.0221,0.0293,-0.001,0.9996
2985.867,-0.6067,0.5181,0.0222,0.0281,-0.0018,0.9996
2985.884,-0.6063,0.518,0.0221,0.0262,-0.003,0.9997
2985.9,-0.6059,0.5178,0.022,0.0236,-0.0039,0.9997
2985.917,-0.6056,0.5176,0.0217,0.0207,-0.0064,0.9998
2985.934,-0.6051,0.5177,0.0216,0.0185,-0.0086,0.9998
2985.951,-0.6046,0.5178,0.0217,0.017,-0.0091,0.9998
2985.968,-0.6041,0.5179,0.0217,0.0157,-0.0088,0.9998
2985.984,-0.6039,0.5174,0.0215,0.0142,-0.0088,0.9999
2986.001,-0.6035,0.5171,0.0214,0.013,-0.01,0.9999
2986.018,-0.6032,0.5169,0.0212,0.0126,-0.0117,0.9999
2986.034,-0.6029,0.517,0.0211,0.0132,-0.0119,0.9998
2986.051,-0.6027,0.517,0.0211,0.0139,-0.0108,0.9998
2986.066,-0.6026,0.5167,0.0208,0.0141,-0.0111,0.9998
2986.083,-0.6026,0.5164,0.0205,0.0138,-0.0117,0.9998
2986.1,-0.6025,0.5164,0.0202,0.0143,-0.0137,0.9998
2986.118,-0.6025,0.5166,0.0198,0.0153,-0.0147,0.9998
2986.133,-0.6026,0.5166,0.0196,0.016,-0.0137,0.9998
2986.15,-0.6027,0.5164,0.019,0.0159,-0.0138,0.9998
2986.166,-0.6028,0.516,0.0186,0.0152,-0.0163,0.9998
2986.183,-0.6028,0.5163,0.0182,0.0153,-0.0193,0.9997
2986.2,-0.6029,0.5167,0.0179,0.0164,-0.0195,0.9997
2986.218,-0.6031,0.5165,0.0175,0.0182,-0.0187,0.9997
2986.234,-0.6034,0.5164,0.0168,0.0197,-0.0205,0.9996
2986.25,-0.6037,0.5162,0.0161,0.0218,-0.0236,0.9995
2986.266,-0.604,0.5161,0.0154,0.0243,-0.0267,0.9993
2986.282,-0.6043,0.5163,0.0144,0.0279,-0.0299,0.9992
2986.299,-0.6046,0.5167,0.0138,0.0321,-0.031,0.999
2986.317,-0.6049,0.5166,0.0129,0.0356,-0.0309,0.9989
2986.333,-0.6051,0.5163,0.0119,0.0385,-0.0339,0.9987
2986.35,-0.6054,0.5162,0.0108,0.0421,-0.0395,0.9983
