t_lsl,t_rel,ox,oy,oz,dx,dy,dz
1908506.833578,11.729336,0.0075,-0.0023,-0.0333,0.5083,0.0202,-0.8609
1908506.849578,11.745336,0.0075,-0.0024,-0.0333,0.5084,0.0204,-0.8609
1908506.866578,11.762336,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908506.883578,11.779336,0.0076,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908506.898578,11.794336,0.0076,-0.0024,-0.0333,0.5083,0.0202,-0.8609
1908506.916578,11.812336,0.0075,-0.0023,-0.0333,0.5084,0.0204,-0.8609
1908506.933578,11.829336,0.0076,-0.0023,-0.0333,0.5083,0.0202,-0.8609
1908506.949578,11.845336,0.0076,-0.0024,-0.0333,0.5083,0.0202,-0.8609
1908506.965578,11.861336,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908506.982578,11.878336,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908506.999578,11.895336,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908507.016578,11.912336,0.0076,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908507.033578,11.929336,0.0076,-0.0024,-0.0333,0.5083,0.0203,-0.861
1908507.048578,11.944336,0.0076,-0.0024,-0.0333,0.5083,0.0203,-0.8609
1908507.066578,11.962336,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908507.083578,11.979336,0.0076,-0.0023,-0.0333,0.5083,0.0202,-0.8609
1908507.099578,11.995336,0.0075,-0.0023,-0.0332,0.5083,0.0204,-0.8609
1908507.116578,12.012336,0.0075,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908507.132578,12.028336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908507.149578,12.045336,0.0076,-0.0024,-0.0332,0.5083,0.0202,-0.8609
1908507.166578,12.062336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908507.184578,12.080336,0.0076,-0.0023,-0.0333,0.5083,0.0204,-0.861
1908507.200578,12.096336,0.0076,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908507.216578,12.112336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908507.231578,12.127336,0.0076,-0.0024,-0.0332,0.5083,0.0204,-0.8609
1908507.247578,12.143336,0.0075,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908507.264578,12.160336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908507.283578,12.179336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908507.299578,12.195336,0.0075,-0.0023,-0.0332,0.5084,0.0205,-0.8609
1908507.316578,12.212336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908507.333578,12.229336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908507.349578,12.245336,0.0075,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908507.366578,12.262336,0.0075,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908507.383578,12.279336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908507.399578,12.295336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908507.416578,12.312336,0.0075,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908507.433578,12.329336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908507.449578,12.345336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908507.466578,12.362336,0.0075,-0.0023,-0.0331,0.5084,0.0204,-0.8609
1908507.482578,12.378336,0.0075,-0.0024,-0.0332,0.5085,0.0204,-0.8608
1908507.499578,12.395336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908507.516578,12.412336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908507.533578,12.429336,0.0075,-0.0023,-0.0331,0.5084,0.0205,-0.8609
1908507.548578,12.444336,0.0075,-0.0024,-0.0332,0.5084,0.0205,-0.8609
1908507.564578,12.460336,0.0075,-0.0023,-0.0332,0.5085,0.0202,-0.8608
1908507.581578,12.477336,0.0075,-0.0024,-0.0331,0.5085,0.0201,-0.8609
1908507.598578,12.494336,0.0074,-0.0024,-0.0331,0.5084,0.0204,-0.8609
1908507.617578,12.513336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908507.631578,12.527336,0.0075,-0.0023,-0.0332,0.5084,0.0201,-0.8609
1908507.646578,12.542336,0.0075,-0.0024,-0.0332,0.5084,0.02,-0.8609
1908507.663578,12.559336,0.0074,-0.0023,-0.0331,0.5084,0.0203,-0.8609
1908507.679578,12.575336,0.0075,-0.0023,-0.0332,0.5084,0.0205,-0.8609
1908507.696578,12.592336,0.0075,-0.0024,-0.0332,0.5085,0.0202,-0.8608
1908507.715578,12.611336,0.0075,-0.0023,-0.0331,0.5085,0.0201,-0.8608
1908507.730578,12.626336,0.0075,-0.0023,-0.0331,0.5084,0.0204,-0.8609
1908507.746578,12.642336,0.0075,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908507.763578,12.659336,0.0075,-0.0023,-0.0332,0.5085,0.0203,-0.8608
1908507.779578,12.675336,0.0075,-0.0024,-0.0332,0.5085,0.0201,-0.8609
1908507.796578,12.692336,0.0074,-0.0024,-0.0332,0.5085,0.0203,-0.8608
1908507.814578,12.710336,0.0075,-0.0024,-0.0332,0.5084,0.0205,-0.8609
1908507.830578,12.726336,0.0075,-0.0024,-0.0332,0.5085,0.0201,-0.8609
1908507.847578,12.743336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908507.864578,12.760336,0.0074,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908507.880578,12.776336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908507.897578,12.793336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908507.915578,12.811336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908507.933578,12.829336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908507.949578,12.845336,0.0075,-0.0024,-0.0332,0.5085,0.0202,-0.8608
1908507.966578,12.862336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
1908507.983578,12.879336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908507.999578,12.895336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.016578,12.912336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908508.032578,12.928336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.049578,12.945336,0.0075,-0.0024,-0.0333,0.5084,0.0204,-0.8609
1908508.066578,12.962336,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908508.083578,12.979336,0.0075,-0.0023,-0.0332,0.5085,0.0201,-0.8608
1908508.099578,12.995336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908508.116578,13.012336,0.0075,-0.0023,-0.0333,0.5084,0.0205,-0.8609
1908508.133578,13.029336,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908508.148578,13.044336,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908508.166578,13.062336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908508.183578,13.079336,0.0075,-0.0023,-0.0333,0.5083,0.0203,-0.8609
1908508.201578,13.097336,0.0075,-0.0023,-0.0333,0.5084,0.0203,-0.8609
1908508.215578,13.111336,0.0075,-0.0024,-0.0332,0.5084,0.0202,-0.8609
