utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
1765778339260,4785.583,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339279,4785.602,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339294,4785.617,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778339310,4785.633,0.5692,-0.0226,0.0691,0.793,-0.0607,0.6062,1765778322068,20251215T043848Z_867c488
1765778339326,4785.649,0.5692,-0.0226,0.0692,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778339343,4785.666,0.5692,-0.0226,0.0692,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339361,4785.684,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339382,4785.705,0.5692,-0.0226,0.0691,0.7931,-0.0607,0.6061,1765778322068,20251215T043848Z_867c488
1765778339399,4785.722,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339415,4785.738,0.5692,-0.0226,0.0691,0.7931,-0.0605,0.6061,1765778322068,20251215T043848Z_867c488
1765778339432,4785.755,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339449,4785.772,0.5692,-0.0226,0.0692,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339461,4785.784,0.5692,-0.0226,0.0692,0.793,-0.0605,0.6062,1765778322068,20251215T043848Z_867c488
1765778339479,4785.802,0.5692,-0.0226,0.0691,0.7931,-0.0605,0.6061,1765778322068,20251215T043848Z_867c488
1765778339499,4785.822,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778339513,4785.836,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778339528,4785.851,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.606,1765778322068,20251215T043848Z_867c488
1765778339543,4785.866,0.5692,-0.0226,0.0691,0.793,-0.0605,0.6062,1765778322068,20251215T043848Z_867c488
1765778339561,4785.884,0.5692,-0.0226,0.0691,0.7931,-0.0605,0.6061,1765778322068,20251215T043848Z_867c488
1765778339578,4785.901,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778339596,4785.919,0.5692,-0.0226,0.0691,0.793,-0.0607,0.6062,1765778322068,20251215T043848Z_867c488
1765778339612,4785.935,0.5692,-0.0226,0.0691,0.793,-0.0607,0.6061,1765778322068,20251215T043848Z_867c488
1765778339629,4785.952,0.5692,-0.0226,0.0692,0.793,-0.0605,0.6062,1765778322068,20251215T043848Z_867c488
1765778339647,4785.97,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339663,4785.986,0.5692,-0.0226,0.0691,0.793,-0.0607,0.6062,1765778322068,20251215T043848Z_867c488
1765778339681,4786.004,0.5692,-0.0226,0.0692,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339700,4786.023,0.5692,-0.0226,0.0691,0.7931,-0.0605,0.6061,1765778322068,20251215T043848Z_867c488
1765778339716,4786.039,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339727,4786.05,0.5692,-0.0226,0.0691,0.7931,-0.0608,0.6061,1765778322068,20251215T043848Z_867c488
1765778339741,4786.065,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339760,4786.083,0.5692,-0.0226,0.0691,0.7931,-0.0604,0.6061,1765778322068,20251215T043848Z_867c488
1765778339777,4786.1,0.5692,-0.0226,0.0691,0.7931,-0.0604,0.6061,1765778322068,20251215T043848Z_867c488
1765778339795,4786.118,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339812,4786.135,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339829,4786.152,0.5692,-0.0226,0.0691,0.7931,-0.0605,0.6061,1765778322068,20251215T043848Z_867c488
1765778339846,4786.169,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339864,4786.187,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339882,4786.205,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339897,4786.221,0.5692,-0.0226,0.0691,0.7931,-0.0605,0.6061,1765778322068,20251215T043848Z_867c488
1765778339919,4786.242,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339930,4786.253,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339942,4786.266,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339960,4786.283,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778339977,4786.3,0.5692,-0.0226,0.0691,0.793,-0.0604,0.6062,1765778322068,20251215T043848Z_867c488
1765778339994,4786.317,0.5692,-0.0226,0.0691,0.7931,-0.0607,0.6061,1765778322068,20251215T043848Z_867c488
1765778340012,4786.335,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340029,4786.352,0.5692,-0.0226,0.0691,0.793,-0.0605,0.6062,1765778322068,20251215T043848Z_867c488
1765778340047,4786.37,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340061,4786.384,0.5692,-0.0226,0.0691,0.793,-0.0607,0.6062,1765778322068,20251215T043848Z_867c488
1765778340079,4786.402,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340097,4786.42,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340116,4786.439,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340135,4786.458,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340150,4786.473,0.5692,-0.0226,0.0691,0.793,-0.0607,0.6062,1765778322068,20251215T043848Z_867c488
1765778340160,4786.483,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340177,4786.5,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340192,4786.516,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340212,4786.535,0.5692,-0.0226,0.0691,0.7931,-0.0607,0.6061,1765778322068,20251215T043848Z_867c488
1765778340229,4786.552,0.5692,-0.0226,0.0691,0.793,-0.0605,0.6062,1765778322068,20251215T043848Z_867c488
1765778340244,4786.567,0.5692,-0.0226,0.0691,0.7931,-0.0605,0.6061,1765778322068,20251215T043848Z_867c488
1765778340262,4786.585,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340278,4786.601,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340297,4786.62,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340314,4786.637,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340333,4786.656,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340348,4786.672,0.5692,-0.0226,0.0691,0.793,-0.0607,0.6062,1765778322068,20251215T043848Z_867c488
1765778340360,4786.683,0.5692,-0.0226,0.0691,0.793,-0.0605,0.6061,1765778322068,20251215T043848Z_867c488
1765778340377,4786.7,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340394,4786.717,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340412,4786.735,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340429,4786.752,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340446,4786.769,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340461,4786.784,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340480,4786.803,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340497,4786.82,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340514,4786.837,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340533,4786.856,0.5692,-0.0226,0.0691,0.793,-0.0605,0.6062,1765778322068,20251215T043848Z_867c488
1765778340545,4786.868,0.5692,-0.0226,0.0691,0.793,-0.0606,0.6062,1765778322068,20251215T043848Z_867c488
1765778340560,4786.883,0.5692,-0.0226,0.0691,0.793,-0.0607,0.6062,1765778322068,20251215T043848Z_867c488
1765778340577,4786.9,0.5692,-0.0226,0.0691,0.7931,-0.0606,0.6061,1765778322068,20251215T043848Z_867c488
1765778340594,4786.917,0.5692,-0.0226,0.0691,0.7931,-0.0605,0.6061,1765778322068,20251215T043848Z_867c488
