utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
1765783802245,640.028,0.3029,-0.3314,0.5159,0.7099,-0.1289,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802260,640.044,0.3029,-0.3314,0.5159,0.7099,-0.1289,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802278,640.062,0.3029,-0.3314,0.5159,0.7099,-0.129,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802294,640.078,0.3028,-0.3314,0.5159,0.7098,-0.1291,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802312,640.095,0.3028,-0.3314,0.5159,0.7099,-0.1289,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802327,640.111,0.3029,-0.3313,0.5159,0.7099,-0.1288,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802345,640.128,0.3029,-0.3314,0.5159,0.7099,-0.1288,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802360,640.144,0.3028,-0.3314,0.516,0.7099,-0.129,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802380,640.164,0.3028,-0.3314,0.5159,0.7099,-0.1289,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802396,640.18,0.3028,-0.3314,0.5159,0.7099,-0.1289,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802413,640.196,0.3028,-0.3314,0.516,0.7099,-0.1287,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802431,640.214,0.3029,-0.3314,0.516,0.7099,-0.1288,-0.6925,1765783825112,20251215T071853Z_bcb7c3e
1765783802447,640.231,0.3028,-0.3314,0.5159,0.7099,-0.1289,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802465,640.248,0.3028,-0.3314,0.5159,0.7099,-0.1289,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802480,640.263,0.3028,-0.3315,0.5159,0.7099,-0.1289,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802497,640.281,0.3028,-0.3314,0.5159,0.7099,-0.1287,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802515,640.299,0.3028,-0.3314,0.5159,0.7099,-0.1287,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802530,640.314,0.3028,-0.3315,0.5159,0.7099,-0.1288,-0.6925,1765783825112,20251215T071853Z_bcb7c3e
1765783802547,640.331,0.3028,-0.3315,0.5159,0.7099,-0.1289,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802563,640.347,0.3028,-0.3314,0.516,0.7099,-0.1289,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802580,640.363,0.3028,-0.3314,0.516,0.7099,-0.1288,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802596,640.38,0.3028,-0.3314,0.516,0.7099,-0.1286,-0.6925,1765783825112,20251215T071853Z_bcb7c3e
1765783802614,640.397,0.3029,-0.3315,0.516,0.7099,-0.1287,-0.6925,1765783825112,20251215T071853Z_bcb7c3e
1765783802629,640.413,0.3028,-0.3315,0.516,0.7098,-0.1289,-0.6925,1765783825112,20251215T071853Z_bcb7c3e
1765783802646,640.43,0.3028,-0.3314,0.5159,0.7098,-0.1289,-0.6925,1765783825112,20251215T071853Z_bcb7c3e
1765783802663,640.446,0.3027,-0.3314,0.516,0.71,-0.1288,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802682,640.465,0.3028,-0.3314,0.516,0.7099,-0.1285,-0.6925,1765783825112,20251215T071853Z_bcb7c3e
1765783802696,640.48,0.3028,-0.3315,0.516,0.7099,-0.1286,-0.6925,1765783825112,20251215T071853Z_bcb7c3e
1765783802713,640.497,0.3028,-0.3315,0.5159,0.7099,-0.1287,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802731,640.515,0.3027,-0.3315,0.516,0.7099,-0.1288,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802746,640.53,0.3027,-0.3314,0.516,0.7099,-0.1289,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802763,640.546,0.3027,-0.3315,0.5161,0.71,-0.1286,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802776,640.56,0.3027,-0.3315,0.516,0.71,-0.1286,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802794,640.578,0.3027,-0.3315,0.5159,0.7099,-0.1287,-0.6924,1765783825112,20251215T071853Z_bcb7c3e
1765783802813,640.597,0.3027,-0.3314,0.5159,0.7099,-0.1291,-0.6923,1765783825112,20251215T071853Z_bcb7c3e
1765783802831,640.614,0.3027,-0.3313,0.5161,0.71,-0.1291,-0.6923,1765783825112,20251215T071853Z_bcb7c3e
