utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
1766397057393,0.001,-0.0083,0.0078,-0.0417,0.0793,-0.0051,0.9968,1766397067452,20251222T095055Z_e88b242
1766397057408,0.016,-0.0091,0.0077,-0.0415,0.0747,-0.006,0.9972,1766397067452,20251222T095055Z_e88b242
1766397057425,0.033,-0.0098,0.0075,-0.0414,0.07,-0.0071,0.9975,1766397067452,20251222T095055Z_e88b242
1766397057442,0.05,-0.0104,0.0074,-0.0413,0.0657,-0.0087,0.9978,1766397067452,20251222T095055Z_e88b242
1766397057457,0.065,-0.0109,0.0074,-0.0412,0.0625,-0.0105,0.998,1766397067452,20251222T095055Z_e88b242
1766397057476,0.084,-0.0114,0.0074,-0.041,0.0599,-0.0118,0.9981,1766397067452,20251222T095055Z_e88b242
1766397057492,0.1,-0.012,0.0074,-0.0408,0.0574,-0.0125,0.9983,1766397067452,20251222T095055Z_e88b242
1766397057511,0.119,-0.0125,0.0073,-0.0408,0.0554,-0.013,0.9984,1766397067452,20251222T095055Z_e88b242
1766397057524,0.132,-0.0129,0.0072,-0.0405,0.0532,-0.0139,0.9985,1766397067452,20251222T095055Z_e88b242
1766397057540,0.148,-0.0133,0.0071,-0.0406,0.0512,-0.0145,0.9986,1766397067452,20251222T095055Z_e88b242
1766397057556,0.164,-0.0137,0.0073,-0.0404,0.0493,-0.0149,0.9987,1766397067452,20251222T095055Z_e88b242
1766397057573,0.181,-0.0141,0.0072,-0.0403,0.0477,-0.0145,0.9988,1766397067452,20251222T095055Z_e88b242
1766397057594,0.202,-0.0145,0.0072,-0.0402,0.046,-0.0145,0.9988,1766397067452,20251222T095055Z_e88b242
1766397057610,0.218,-0.0149,0.0071,-0.04,0.0443,-0.0147,0.9989,1766397067452,20251222T095055Z_e88b242
1766397057625,0.233,-0.0152,0.0071,-0.0398,0.0425,-0.0152,0.999,1766397067452,20251222T095055Z_e88b242
1766397057641,0.249,-0.0154,0.007,-0.0399,0.041,-0.0161,0.999,1766397067452,20251222T095055Z_e88b242
1766397057658,0.266,-0.0156,0.007,-0.0398,0.0402,-0.017,0.999,1766397067452,20251222T095055Z_e88b242
1766397057677,0.285,-0.0159,0.007,-0.0397,0.0396,-0.0177,0.9991,1766397067452,20251222T095055Z_e88b242
1766397057693,0.301,-0.0162,0.0071,-0.0396,0.0388,-0.0184,0.9991,1766397067452,20251222T095055Z_e88b242
1766397057709,0.317,-0.0165,0.0071,-0.0395,0.0377,-0.0186,0.9991,1766397067452,20251222T095055Z_e88b242
1766397057723,0.331,-0.0166,0.0069,-0.0394,0.0369,-0.0187,0.9991,1766397067452,20251222T095055Z_e88b242
