utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
,74.037,-0.0758,0.0529,-0.0485,-0.3081,0.0006,0.9514,1766833613221,20251227T110648Z_250204b
,74.054,-0.076,0.052,-0.0485,-0.3048,-0.0096,0.9524,1766833613221,20251227T110648Z_250204b
,74.072,-0.0763,0.0514,-0.0485,-0.3022,-0.0214,0.953,1766833613221,20251227T110648Z_250204b
,74.093,-0.0764,0.0507,-0.0486,-0.2994,-0.0305,0.9536,1766833613221,20251227T110648Z_250204b
,74.106,-0.0765,0.0499,-0.0488,-0.2967,-0.0389,0.9542,1766833613221,20251227T110648Z_250204b
,74.122,-0.0764,0.0497,-0.0489,-0.2944,-0.0463,0.9545,1766833613221,20251227T110648Z_250204b
,74.138,-0.0763,0.0492,-0.0488,-0.2919,-0.0508,0.9551,1766833613221,20251227T110648Z_250204b
,74.156,-0.0762,0.0487,-0.0488,-0.2891,-0.056,0.9557,1766833613221,20251227T110648Z_250204b
,74.172,-0.076,0.0485,-0.0487,-0.2859,-0.0618,0.9563,1766833613221,20251227T110648Z_250204b
,74.189,-0.0758,0.0484,-0.0486,-0.2823,-0.065,0.9571,1766833613221,20251227T110648Z_250204b
,74.205,-0.0756,0.0477,-0.0486,-0.2786,-0.0681,0.958,1766833613221,20251227T110648Z_250204b
,74.223,-0.0755,0.0473,-0.0486,-0.2755,-0.0734,0.9585,1766833613221,20251227T110648Z_250204b
,74.24,-0.0753,0.0468,-0.0485,-0.2727,-0.0784,0.9589,1766833613221,20251227T110648Z_250204b
,74.257,-0.075,0.0464,-0.0483,-0.2702,-0.083,0.9592,1766833613221,20251227T110648Z_250204b
,74.273,-0.0747,0.0461,-0.0479,-0.2675,-0.0869,0.9596,1766833613221,20251227T110648Z_250204b
,74.291,-0.0743,0.0456,-0.0474,-0.2641,-0.0894,0.9604,1766833613221,20251227T110648Z_250204b
,74.308,-0.074,0.0454,-0.047,-0.2606,-0.0925,0.961,1766833613221,20251227T110648Z_250204b
