utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
,7873.752,0.0009,-0.0013,0.0003,0.4737,-0.0565,0.8789,1769581812892,20260128T063005Z_66041ea
,7873.769,0.0009,-0.0013,0.0003,0.4737,-0.0567,0.8789,1769581812892,20260128T063005Z_66041ea
,7873.786,0.0009,-0.0013,0.0003,0.4737,-0.0567,0.8789,1769581812892,20260128T063005Z_66041ea
,7873.802,0.0009,-0.0013,0.0003,0.4737,-0.0566,0.8788,1769581812892,20260128T063005Z_66041ea
,7873.819,0.0009,-0.0013,0.0003,0.4738,-0.0565,0.8788,1769581812892,20260128T063005Z_66041ea
,7873.836,0.0009,-0.0013,0.0003,0.4737,-0.0566,0.8789,1769581812892,20260128T063005Z_66041ea
,7873.853,0.0009,-0.0013,0.0003,0.4736,-0.0567,0.8789,1769581812892,20260128T063005Z_66041ea
,7873.87,0.0009,-0.0013,0.0003,0.4737,-0.0566,0.8789,1769581812892,20260128T063005Z_66041ea
,7873.887,0.0009,-0.0013,0.0003,0.4737,-0.0566,0.8789,1769581812892,20260128T063005Z_66041ea
,7873.904,0.0009,-0.0013,0.0003,0.4738,-0.0566,0.8788,1769581812892,20260128T063005Z_66041ea
,7873.921,0.0009,-0.0013,0.0003,0.4737,-0.0566,0.8789,1769581812892,20260128T063005Z_66041ea
,7873.937,0.0009,-0.0013,0.0003,0.4737,-0.0566,0.8788,1769581812892,20260128T063005Z_66041ea
,7873.952,0.0009,-0.0013,0.0002,0.4737,-0.0566,0.8789,1769581812892,20260128T063005Z_66041ea
,7873.969,0.0009,-0.0013,0.0003,0.4737,-0.0566,0.8788,1769581812892,20260128T063005Z_66041ea
,7873.985,0.0009,-0.0014,0.0003,0.4738,-0.0566,0.8788,1769581812892,20260128T063005Z_66041ea
,7874.002,0.0009,-0.0013,0.0003,0.4738,-0.0565,0.8788,1769581812892,20260128T063005Z_66041ea
,7874.019,0.0009,-0.0013,0.0002,0.4737,-0.0566,0.8789,1769581812892,20260128T063005Z_66041ea
,7874.037,0.0009,-0.0013,0.0003,0.4738,-0.0566,0.8788,1769581812892,20260128T063005Z_66041ea
,7874.054,0.0008,-0.0013,0.0002,0.4737,-0.0566,0.8789,1769581812892,20260128T063005Z_66041ea
,7874.071,0.0009,-0.0013,0.0002,0.4737,-0.0565,0.8788,1769581812892,20260128T063005Z_66041ea
,7874.087,0.0009,-0.0013,0.0003,0.4737,-0.0566,0.8788,1769581812892,20260128T063005Z_66041ea
,7874.104,0.0009,-0.0013,0.0003,0.4737,-0.0566,0.8788,1769581812892,20260128T063005Z_66041ea
,7874.121,0.0009,-0.0013,0.0003,0.4738,-0.0566,0.8788,1769581812892,20260128T063005Z_66041ea
,7874.138,0.0009,-0.0013,0.0003,0.4736,-0.0566,0.8789,1769581812892,20260128T063005Z_66041ea
,7874.153,0.0009,-0.0013,0.0003,0.4738,-0.0566,0.8788,1769581812892,20260128T063005Z_66041ea
,7874.168,0.0009,-0.0013,0.0003,0.4738,-0.0566,0.8788,1769581812892,20260128T063005Z_66041ea
,7874.185,0.0009,-0.0013,0.0003,0.4737,-0.0565,0.8789,1769581812892,20260128T063005Z_66041ea
,7874.202,0.0009,-0.0013,0.0003,0.4737,-0.0566,0.8789,1769581812892,20260128T063005Z_66041ea
,7874.219,0.0009,-0.0013,0.0003,0.4738,-0.0565,0.8788,1769581812892,20260128T063005Z_66041ea
,7874.236,0.0009,-0.0013,0.0003,0.4737,-0.0566,0.8789,1769581812892,20260128T063005Z_66041ea
,7874.252,0.0009,-0.0013,0.0003,0.4738,-0.0565,0.8788,1769581812892,20260128T063005Z_66041ea
