utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
,8143.753,0.0008,-0.0016,0.0002,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8143.771,0.0008,-0.0015,0.0002,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8143.787,0.0008,-0.0015,0.0002,0.4739,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8143.804,0.0008,-0.0015,0.0002,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8143.821,0.0008,-0.0016,0.0002,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8143.837,0.0008,-0.0015,0.0001,0.4738,-0.0561,0.8788,1769582082902,20260128T063435Z_80333da
,8143.854,0.0008,-0.0015,0.0002,0.4739,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8143.872,0.0008,-0.0016,0.0001,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8143.889,0.0008,-0.0015,0.0002,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8143.906,0.0008,-0.0015,0.0001,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8143.923,0.0008,-0.0015,0.0001,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8143.94,0.0008,-0.0015,0.0001,0.4738,-0.0559,0.8789,1769582082902,20260128T063435Z_80333da
,8143.954,0.0008,-0.0015,0.0002,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8143.969,0.0008,-0.0016,0.0001,0.4737,-0.056,0.8789,1769582082902,20260128T063435Z_80333da
,8143.986,0.0008,-0.0016,0.0001,0.4739,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8144.002,0.0008,-0.0016,0.0001,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8144.02,0.0008,-0.0015,0.0002,0.4739,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8144.037,0.0008,-0.0016,0.0001,0.4739,-0.0561,0.8788,1769582082902,20260128T063435Z_80333da
,8144.054,0.0008,-0.0015,0.0001,0.4738,-0.056,0.8789,1769582082902,20260128T063435Z_80333da
,8144.071,0.0008,-0.0016,0.0001,0.4738,-0.056,0.8789,1769582082902,20260128T063435Z_80333da
,8144.088,0.0008,-0.0015,0.0001,0.4738,-0.0561,0.8788,1769582082902,20260128T063435Z_80333da
,8144.104,0.0008,-0.0015,0.0001,0.4738,-0.0561,0.8789,1769582082902,20260128T063435Z_80333da
,8144.121,0.0008,-0.0016,0.0001,0.4737,-0.056,0.8789,1769582082902,20260128T063435Z_80333da
,8144.138,0.0008,-0.0016,0.0001,0.4738,-0.056,0.8789,1769582082902,20260128T063435Z_80333da
,8144.154,0.0008,-0.0016,0.0001,0.4738,-0.0561,0.8788,1769582082902,20260128T063435Z_80333da
,8144.171,0.0008,-0.0015,0.0002,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8144.188,0.0008,-0.0015,0.0002,0.4738,-0.0562,0.8789,1769582082902,20260128T063435Z_80333da
,8144.204,0.0008,-0.0015,0.0002,0.4738,-0.0561,0.8789,1769582082902,20260128T063435Z_80333da
,8144.221,0.0008,-0.0016,0.0002,0.4738,-0.0561,0.8789,1769582082902,20260128T063435Z_80333da
,8144.237,0.0008,-0.0015,0.0002,0.4738,-0.0561,0.8788,1769582082902,20260128T063435Z_80333da
,8144.255,0.0008,-0.0015,0.0002,0.4738,-0.056,0.8789,1769582082902,20260128T063435Z_80333da
,8144.273,0.0008,-0.0015,0.0002,0.4738,-0.0561,0.8788,1769582082902,20260128T063435Z_80333da
,8144.29,0.0008,-0.0015,0.0002,0.4738,-0.0561,0.8789,1769582082902,20260128T063435Z_80333da
,8144.307,0.0008,-0.0015,0.0002,0.4738,-0.0561,0.8788,1769582082902,20260128T063435Z_80333da
,8144.323,0.0008,-0.0015,0.0002,0.4738,-0.056,0.8789,1769582082902,20260128T063435Z_80333da
,8144.337,0.0008,-0.0015,0.0002,0.4738,-0.056,0.8788,1769582082902,20260128T063435Z_80333da
,8144.353,0.0008,-0.0015,0.0002,0.4737,-0.056,0.8789,1769582082902,20260128T063435Z_80333da
,8144.37,0.0009,-0.0015,0.0003,0.4738,-0.0562,0.8788,1769582082902,20260128T063435Z_80333da
,8144.387,0.0008,-0.0015,0.0002,0.4738,-0.056,0.8789,1769582082902,20260128T063435Z_80333da
,8144.404,0.0008,-0.0015,0.0002,0.4738,-0.0561,0.8789,1769582082902,20260128T063435Z_80333da
,8144.42,0.0008,-0.0015,0.0002,0.4738,-0.0561,0.8789,1769582082902,20260128T063435Z_80333da
,8144.437,0.0008,-0.0015,0.0002,0.4737,-0.0561,0.8789,1769582082902,20260128T063435Z_80333da
,8144.454,0.0008,-0.0016,0.0003,0.4738,-0.0561,0.8788,1769582082902,20260128T063435Z_80333da
,8144.471,0.0008,-0.0016,0.0003,0.4738,-0.0561,0.8788,1769582082902,20260128T063435Z_80333da
