utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
,8203.753,0.0008,-0.0015,0.0002,0.4741,-0.0563,0.8787,1769582127850,20260128T063513Z_bb30cee
,8203.77,0.0008,-0.0015,0.0002,0.4741,-0.0563,0.8786,1769582127850,20260128T063513Z_bb30cee
,8203.786,0.0008,-0.0015,0.0002,0.4741,-0.0564,0.8787,1769582127850,20260128T063513Z_bb30cee
,8203.803,0.0008,-0.0014,0.0002,0.4741,-0.0563,0.8786,1769582127850,20260128T063513Z_bb30cee
,8203.819,0.0008,-0.0015,0.0002,0.4742,-0.0562,0.8786,1769582127850,20260128T063513Z_bb30cee
,8203.837,0.0008,-0.0014,0.0002,0.4741,-0.0563,0.8787,1769582127850,20260128T063513Z_bb30cee
,8203.854,0.0007,-0.0015,0.0001,0.4741,-0.0564,0.8786,1769582127850,20260128T063513Z_bb30cee
,8203.87,0.0007,-0.0015,0.0001,0.4741,-0.0562,0.8787,1769582127850,20260128T063513Z_bb30cee
,8203.888,0.0008,-0.0015,0.0002,0.4741,-0.0562,0.8787,1769582127850,20260128T063513Z_bb30cee
,8203.904,0.0008,-0.0015,0.0002,0.474,-0.0564,0.8787,1769582127850,20260128T063513Z_bb30cee
,8203.921,0.0008,-0.0015,0.0002,0.4741,-0.0565,0.8787,1769582127850,20260128T063513Z_bb30cee
,8203.938,0.0008,-0.0015,0.0001,0.4741,-0.0563,0.8787,1769582127850,20260128T063513Z_bb30cee
,8203.953,0.0007,-0.0015,0.0002,0.4742,-0.0563,0.8786,1769582127850,20260128T063513Z_bb30cee
,8203.97,0.0007,-0.0015,0.0002,0.4741,-0.0563,0.8787,1769582127850,20260128T063513Z_bb30cee
,8203.986,0.0007,-0.0015,0.0002,0.4741,-0.0564,0.8786,1769582127850,20260128T063513Z_bb30cee
,8204.003,0.0007,-0.0016,0.0001,0.4741,-0.0564,0.8787,1769582127850,20260128T063513Z_bb30cee
,8204.021,0.0007,-0.0015,0.0001,0.4741,-0.0562,0.8787,1769582127850,20260128T063513Z_bb30cee
,8204.037,0.0007,-0.0015,0.0001,0.4741,-0.0563,0.8787,1769582127850,20260128T063513Z_bb30cee
,8204.054,0.0007,-0.0015,0.0001,0.4741,-0.0564,0.8787,1769582127850,20260128T063513Z_bb30cee
,8204.072,0.0007,-0.0015,0.0002,0.4741,-0.0563,0.8787,1769582127850,20260128T063513Z_bb30cee
,8204.09,0.0007,-0.0015,0.0001,0.4741,-0.0563,0.8787,1769582127850,20260128T063513Z_bb30cee
,8204.106,0.0007,-0.0015,0.0001,0.4741,-0.0564,0.8787,1769582127850,20260128T063513Z_bb30cee
,8204.123,0.0007,-0.0015,0.0002,0.4741,-0.0564,0.8786,1769582127850,20260128T063513Z_bb30cee
,8204.14,0.0007,-0.0015,0.0002,0.4741,-0.0563,0.8787,1769582127850,20260128T063513Z_bb30cee
,8204.154,0.0007,-0.0015,0.0001,0.4741,-0.0563,0.8787,1769582127850,20260128T063513Z_bb30cee
,8204.17,0.0007,-0.0015,0.0001,0.4741,-0.0563,0.8787,1769582127850,20260128T063513Z_bb30cee
,8204.187,0.0008,-0.0015,0.0001,0.4742,-0.0563,0.8786,1769582127850,20260128T063513Z_bb30cee
,8204.203,0.0007,-0.0015,0.0002,0.4741,-0.0563,0.8787,1769582127850,20260128T063513Z_bb30cee
,8204.221,0.0007,-0.0015,0.0001,0.4741,-0.0564,0.8787,1769582127850,20260128T063513Z_bb30cee
