utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
,8393.755,0.0008,-0.0014,0.0002,0.4743,-0.0563,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.771,0.0007,-0.0014,0.0002,0.4742,-0.0563,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.786,0.0007,-0.0014,0.0002,0.4742,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.803,0.0007,-0.0015,0.0001,0.4742,-0.0565,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.82,0.0007,-0.0013,0.0001,0.4742,-0.0565,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.837,0.0007,-0.0014,0.0002,0.4743,-0.0563,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.854,0.0007,-0.0015,0.0002,0.4743,-0.0565,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.872,0.0007,-0.0014,0.0002,0.4742,-0.0566,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.888,0.0008,-0.0014,0.0002,0.4743,-0.0565,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.905,0.0007,-0.0014,0.0002,0.4743,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.923,0.0007,-0.0015,0.0002,0.4743,-0.0565,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.937,0.0007,-0.0015,0.0002,0.4743,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.953,0.0007,-0.0014,0.0002,0.4742,-0.0565,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.97,0.0007,-0.0014,0.0002,0.4742,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
,8393.986,0.0007,-0.0014,0.0002,0.4743,-0.0566,0.8786,1769582317859,20260128T063827Z_4ed6045
,8394.003,0.0007,-0.0014,0.0002,0.4743,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
,8394.021,0.0007,-0.0014,0.0002,0.4743,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
,8394.038,0.0008,-0.0014,0.0003,0.4744,-0.0565,0.8785,1769582317859,20260128T063827Z_4ed6045
,8394.055,0.0007,-0.0014,0.0003,0.4743,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
,8394.071,0.0007,-0.0013,0.0003,0.4743,-0.0565,0.8786,1769582317859,20260128T063827Z_4ed6045
,8394.089,0.0007,-0.0015,0.0002,0.4742,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
,8394.104,0.0007,-0.0015,0.0002,0.4743,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
,8394.123,0.0007,-0.0014,0.0002,0.4743,-0.0564,0.8785,1769582317859,20260128T063827Z_4ed6045
,8394.14,0.0007,-0.0014,0.0002,0.4743,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
,8394.153,0.0007,-0.0014,0.0002,0.4743,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
,8394.17,0.0007,-0.0014,0.0002,0.4743,-0.0565,0.8785,1769582317859,20260128T063827Z_4ed6045
,8394.187,0.0007,-0.0014,0.0002,0.4743,-0.0565,0.8785,1769582317859,20260128T063827Z_4ed6045
,8394.203,0.0007,-0.0014,0.0002,0.4743,-0.0565,0.8785,1769582317859,20260128T063827Z_4ed6045
,8394.22,0.0007,-0.0014,0.0002,0.4743,-0.0565,0.8786,1769582317859,20260128T063827Z_4ed6045
,8394.239,0.0007,-0.0014,0.0002,0.4743,-0.0564,0.8786,1769582317859,20260128T063827Z_4ed6045
