utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
,8443.753,0.0008,-0.0013,0.0001,0.4741,-0.0567,0.8786,1769582382925,20260128T063942Z_f2cb7f2
,8443.771,0.0009,-0.0012,0.0001,0.474,-0.0568,0.8787,1769582382925,20260128T063942Z_f2cb7f2
,8443.787,0.0009,-0.0012,0.0001,0.474,-0.0569,0.8787,1769582382925,20260128T063942Z_f2cb7f2
,8443.804,0.0007,-0.0014,-0.0001,0.4743,-0.0569,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8443.82,0.0006,-0.0014,-0.0001,0.4743,-0.0569,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8443.838,0.0006,-0.0014,-0.0001,0.4742,-0.0569,0.8786,1769582382925,20260128T063942Z_f2cb7f2
,8443.854,0.0007,-0.0014,0,0.4744,-0.0569,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8443.872,0.0006,-0.0014,-0.0001,0.4742,-0.057,0.8786,1769582382925,20260128T063942Z_f2cb7f2
,8443.889,0.0007,-0.0013,-0.0001,0.4743,-0.0569,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8443.904,0.0006,-0.0014,-0.0002,0.4743,-0.0567,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8443.923,0.0007,-0.0013,0,0.4743,-0.0569,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8443.939,0.0007,-0.0013,0,0.4743,-0.057,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8443.953,0.0006,-0.0014,0,0.4743,-0.057,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8443.97,0.0006,-0.0015,-0.0001,0.4744,-0.0568,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8443.987,0.0007,-0.0014,0,0.4744,-0.0567,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.005,0.0007,-0.0013,0,0.4743,-0.0569,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.021,0.0007,-0.0013,-0.0001,0.4743,-0.0573,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.037,0.0007,-0.0013,-0.0001,0.4743,-0.057,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.055,0.0007,-0.0014,0,0.4743,-0.0567,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.071,0.0007,-0.0014,0,0.4742,-0.0569,0.8786,1769582382925,20260128T063942Z_f2cb7f2
,8444.088,0.0007,-0.0013,0,0.4743,-0.0572,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.104,0.0007,-0.0014,-0.0001,0.4743,-0.0571,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.122,0.0007,-0.0014,-0.0001,0.4743,-0.0568,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.14,0.0007,-0.0014,-0.0001,0.4744,-0.0567,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.154,0.0007,-0.0014,0,0.4743,-0.0568,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.17,0.0007,-0.0014,0,0.4742,-0.0572,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.187,0.0007,-0.0014,-0.0001,0.4743,-0.0573,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.203,0.0007,-0.0014,-0.0001,0.4743,-0.0568,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.221,0.0007,-0.0014,-0.0001,0.4743,-0.0566,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.236,0.0008,-0.0014,0,0.4744,-0.0569,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.255,0.0007,-0.0014,0,0.4743,-0.0572,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.272,0.0007,-0.0014,-0.0001,0.4744,-0.0571,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.288,0.0007,-0.0014,-0.0001,0.4743,-0.0568,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.306,0.0007,-0.0014,0,0.4743,-0.0566,0.8785,1769582382925,20260128T063942Z_f2cb7f2
,8444.322,0.0007,-0.0013,0.0001,0.4743,-0.0569,0.8785,1769582382925,20260128T063942Z_f2cb7f2
