utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
,9933.76,0.0009,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9933.772,0.0008,-0.0014,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9933.789,0.0008,-0.0014,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9933.807,0.0008,-0.0014,0,0.4723,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9933.822,0.0008,-0.0014,0,0.4723,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9933.84,0.0009,-0.0014,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9933.856,0.0008,-0.0014,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9933.874,0.0008,-0.0014,-0.0001,0.4723,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9933.892,0.0008,-0.0014,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9933.908,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9933.926,0.0008,-0.0014,0,0.4725,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9933.941,0.0008,-0.0014,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9933.958,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9933.975,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9933.989,0.0008,-0.0014,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.006,0.0008,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.022,0.0008,-0.0014,0,0.4724,-0.0569,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.04,0.0008,-0.0014,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.057,0.0008,-0.0014,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.073,0.0008,-0.0014,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.091,0.0008,-0.0014,0,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.108,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.125,0.0008,-0.0014,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.142,0.0008,-0.0013,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.159,0.0008,-0.0014,0,0.4725,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.174,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.189,0.0008,-0.0014,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.207,0.0008,-0.0013,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.224,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.24,0.0008,-0.0014,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.261,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.278,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.294,0.0008,-0.0014,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.311,0.0008,-0.0013,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.328,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.342,0.0008,-0.0014,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.358,0.0008,-0.0014,0,0.4725,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.373,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.39,0.0008,-0.0013,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.407,0.0008,-0.0013,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.423,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.44,0.0008,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.457,0.0008,-0.0014,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.475,0.0008,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.491,0.0008,-0.0013,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.508,0.0008,-0.0013,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.525,0.0008,-0.0013,0,0.4725,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.542,0.0008,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.558,0.0008,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.573,0.0008,-0.0013,0,0.4725,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.59,0.0008,-0.0013,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.606,0.0009,-0.0013,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.624,0.0008,-0.0013,0.0001,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.641,0.0008,-0.0013,0.0001,0.4724,-0.0569,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.658,0.0008,-0.0013,0,0.4724,-0.057,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.675,0.0009,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.691,0.0009,-0.0013,0.0001,0.4725,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.709,0.0008,-0.0013,0,0.4724,-0.0569,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.726,0.0009,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.742,0.0009,-0.0013,0,0.4725,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.759,0.0009,-0.0013,0,0.4724,-0.0569,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.773,0.0009,-0.0013,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.79,0.0009,-0.0013,0,0.4724,-0.0569,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.807,0.0009,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.823,0.0009,-0.0013,0,0.4724,-0.057,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.84,0.0009,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.857,0.0009,-0.0013,0,0.4724,-0.057,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.874,0.0009,-0.0013,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.892,0.0009,-0.0013,0.0001,0.4725,-0.057,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.908,0.0009,-0.0013,0.0001,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.925,0.0009,-0.0013,0,0.4724,-0.0571,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.942,0.0009,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9934.959,0.0009,-0.0013,0.0001,0.4725,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.974,0.0009,-0.0013,0.0001,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9934.989,0.001,-0.0013,0.0001,0.4724,-0.057,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.007,0.001,-0.0013,0,0.4725,-0.057,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.023,0.001,-0.0013,0,0.4725,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.04,0.0009,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.057,0.001,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.074,0.001,-0.0013,0,0.4724,-0.057,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.092,0.0009,-0.0013,0,0.4724,-0.057,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.108,0.0009,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.126,0.001,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.142,0.001,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.158,0.0009,-0.0014,0,0.4724,-0.057,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.175,0.001,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.188,0.001,-0.0013,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.206,0.001,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.224,0.001,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.239,0.001,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.257,0.001,-0.0013,0.0001,0.4725,-0.057,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.273,0.001,-0.0013,0,0.4725,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.29,0.001,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.307,0.001,-0.0014,0,0.4725,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.323,0.001,-0.0013,0.0001,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.34,0.001,-0.0014,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.357,0.001,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.372,0.001,-0.0014,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.389,0.001,-0.0013,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.406,0.001,-0.0014,0.0001,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.424,0.001,-0.0013,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.439,0.0011,-0.0014,0,0.4725,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.457,0.001,-0.0013,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.474,0.001,-0.0013,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.49,0.001,-0.0014,0.0001,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.508,0.001,-0.0013,0.0001,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.525,0.001,-0.0014,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.542,0.0011,-0.0013,0,0.4725,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.56,0.001,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.573,0.001,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.589,0.001,-0.0013,0.0001,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.608,0.001,-0.0014,0,0.4723,-0.0569,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.624,0.001,-0.0014,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.641,0.001,-0.0013,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.657,0.001,-0.0014,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.673,0.001,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.69,0.001,-0.0014,0,0.4724,-0.0569,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.706,0.001,-0.0013,0,0.4723,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.724,0.001,-0.0014,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.74,0.0009,-0.0014,-0.0001,0.4723,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.757,0.001,-0.0013,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.772,0.001,-0.0014,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.789,0.001,-0.0014,0,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.806,0.0009,-0.0014,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.823,0.001,-0.0014,0,0.4724,-0.0565,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.84,0.001,-0.0015,0,0.4723,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.856,0.001,-0.0013,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.874,0.001,-0.0014,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.89,0.0009,-0.0014,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9935.906,0.0009,-0.0014,0,0.4724,-0.0566,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.926,0.0009,-0.0014,0,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.94,0.0009,-0.0013,0,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.958,0.0009,-0.0014,0,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.973,0.0009,-0.0014,-0.0001,0.4723,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9935.99,0.0009,-0.0014,0,0.4725,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.007,0.0009,-0.0014,0,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.023,0.0009,-0.0014,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.04,0.0009,-0.0014,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.058,0.0009,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.075,0.0009,-0.0013,0,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.092,0.0009,-0.0013,0,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.108,0.0008,-0.0014,0,0.4723,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.125,0.0009,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.143,0.0009,-0.0014,0,0.4724,-0.0565,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.159,0.0009,-0.0013,0,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.173,0.0009,-0.0013,0,0.4724,-0.0568,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.188,0.0009,-0.0014,0,0.4723,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.207,0.0009,-0.0014,0,0.4725,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.224,0.0008,-0.0014,-0.0001,0.4723,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.24,0.0008,-0.0014,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.257,0.0008,-0.0013,-0.0001,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.274,0.0009,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.291,0.0009,-0.0014,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.308,0.0009,-0.0013,0,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.325,0.0008,-0.0014,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.342,0.0008,-0.0013,0,0.4725,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.357,0.0008,-0.0014,-0.0001,0.4724,-0.0566,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.374,0.0008,-0.0014,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.39,0.0008,-0.0014,-0.0001,0.4723,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.406,0.0008,-0.0014,-0.0001,0.4723,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.424,0.0008,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.439,0.0008,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.457,0.0008,-0.0014,0,0.4723,-0.0566,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.474,0.0009,-0.0014,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.491,0.0008,-0.0013,0,0.4724,-0.0566,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.508,0.0008,-0.0014,-0.0001,0.4724,-0.0566,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.524,0.0008,-0.0014,0,0.4724,-0.0566,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.542,0.0009,-0.0014,0,0.4724,-0.0566,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.56,0.0008,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.573,0.0008,-0.0014,-0.0001,0.4723,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.59,0.0008,-0.0014,-0.0001,0.4723,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.606,0.0008,-0.0014,-0.0001,0.4725,-0.0566,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.624,0.0009,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.641,0.0009,-0.0014,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.658,0.0008,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.675,0.0008,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.692,0.0008,-0.0014,0,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.708,0.0008,-0.0015,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.726,0.0008,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.741,0.0008,-0.0014,-0.0001,0.4724,-0.0567,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.759,0.0008,-0.0014,-0.0001,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.772,0.0008,-0.0014,-0.0001,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.789,0.0008,-0.0014,-0.0001,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.807,0.0008,-0.0015,-0.0001,0.4723,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.823,0.0008,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.84,0.0008,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.856,0.0008,-0.0014,-0.0001,0.4723,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.873,0.0008,-0.0014,-0.0001,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.89,0.0007,-0.0014,-0.0001,0.4724,-0.0569,0.8795,1769583857878,20260128T070416Z_915b3af
,9936.907,0.0008,-0.0014,-0.0001,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.925,0.0008,-0.0014,-0.0001,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.941,0.0008,-0.0014,-0.0001,0.4724,-0.0567,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.958,0.0008,-0.0014,-0.0001,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.974,0.0008,-0.0014,-0.0001,0.4723,-0.057,0.8796,1769583857878,20260128T070416Z_915b3af
,9936.989,0.0007,-0.0015,-0.0001,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
,9937.007,0.0008,-0.0014,-0.0001,0.4724,-0.0566,0.8796,1769583857878,20260128T070416Z_915b3af
,9937.025,0.0008,-0.0014,-0.0001,0.4724,-0.0568,0.8796,1769583857878,20260128T070416Z_915b3af
