utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
,11203.76,0.0007,-0.0014,-0.0001,0.4731,-0.0565,0.8792,1769585127979,no_4
,11203.78,0.0007,-0.0014,-0.0001,0.4732,-0.0565,0.8792,1769585127979,no_4
,11203.79,0.0007,-0.0014,-0.0001,0.4732,-0.0565,0.8791,1769585127979,no_4
,11203.81,0.0007,-0.0014,-0.0001,0.4732,-0.0565,0.8791,1769585127979,no_4
,11203.83,0.0007,-0.0014,-0.0001,0.4732,-0.0564,0.8791,1769585127979,no_4
,11203.84,0.0007,-0.0014,-0.0001,0.4732,-0.0565,0.8792,1769585127979,no_4
,11203.86,0.0007,-0.0014,-0.0001,0.4732,-0.0566,0.8792,1769585127979,no_4
,11203.88,0.0007,-0.0014,-0.0001,0.4732,-0.0565,0.8791,1769585127979,no_4
,11203.89,0.0007,-0.0014,-0.0001,0.4732,-0.0565,0.8791,1769585127979,no_4
,11203.91,0.0007,-0.0014,-0.0001,0.4732,-0.0565,0.8791,1769585127979,no_4
,11203.93,0.0007,-0.0014,-0.0001,0.4732,-0.0566,0.8791,1769585127979,no_4
,11203.94,0.0007,-0.0014,-0.0001,0.4732,-0.0565,0.8791,1769585127979,no_4
,11203.96,0.0007,-0.0014,-0.0001,0.4732,-0.0564,0.8791,1769585127979,no_4
,11203.98,0.0007,-0.0014,-0.0001,0.4732,-0.0566,0.8792,1769585127979,no_4
,11203.99,0.0007,-0.0014,-0.0001,0.4732,-0.0565,0.8791,1769585127979,no_4
,11204.01,0.0007,-0.0014,-0.0001,0.4732,-0.0565,0.8791,1769585127979,no_4
,11204.03,0.0007,-0.0014,-0.0001,0.4732,-0.0566,0.8791,1769585127979,no_4
,11204.04,0.0007,-0.0014,-0.0001,0.4732,-0.0564,0.8791,1769585127979,no_4
,11204.06,0.0007,-0.0014,-0.0001,0.4733,-0.0564,0.8791,1769585127979,no_4
