utc_ms,t,ox,oy,oz,dx,dy,dz,server_recv_utc_ms,session
,10483.76,0.0008,-0.0013,0.0001,0.4731,-0.0568,0.8792,1769584407894,no_session
,10483.78,0.0008,-0.0013,0.0001,0.4731,-0.0568,0.8792,1769584407894,no_session
,10483.79,0.0008,-0.0014,0.0001,0.4731,-0.0568,0.8792,1769584407894,no_session
,10483.81,0.0008,-0.0013,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10483.83,0.0008,-0.0013,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10483.84,0.0008,-0.0013,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10483.86,0.0008,-0.0014,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10483.88,0.0008,-0.0013,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10483.89,0.0008,-0.0013,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10483.91,0.0008,-0.0014,0.0001,0.4731,-0.0569,0.8791,1769584407894,no_session
,10483.93,0.0008,-0.0013,0,0.4731,-0.0569,0.8791,1769584407894,no_session
,10483.94,0.0008,-0.0014,0.0001,0.4731,-0.0568,0.8792,1769584407894,no_session
,10483.96,0.0008,-0.0013,0.0001,0.4732,-0.0568,0.8791,1769584407894,no_session
,10483.97,0.0008,-0.0013,0.0001,0.4732,-0.0569,0.8791,1769584407894,no_session
,10483.99,0.0007,-0.0013,0,0.4731,-0.057,0.8792,1769584407894,no_session
,10484.01,0.0007,-0.0013,0,0.4732,-0.0569,0.8791,1769584407894,no_session
,10484.02,0.0008,-0.0013,0,0.4732,-0.0567,0.8791,1769584407894,no_session
,10484.04,0.0008,-0.0013,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.06,0.0008,-0.0013,0.0001,0.4732,-0.0569,0.8791,1769584407894,no_session
,10484.08,0.0007,-0.0014,0.0001,0.4731,-0.057,0.8791,1769584407894,no_session
,10484.09,0.0007,-0.0013,0.0001,0.4731,-0.0568,0.8792,1769584407894,no_session
,10484.11,0.0008,-0.0013,0.0001,0.4732,-0.0569,0.8791,1769584407894,no_session
,10484.13,0.0008,-0.0013,0.0001,0.4732,-0.0569,0.8791,1769584407894,no_session
,10484.14,0.0008,-0.0013,0.0002,0.4733,-0.0569,0.8791,1769584407894,no_session
,10484.16,0.0007,-0.0013,0.0001,0.4732,-0.0568,0.8791,1769584407894,no_session
,10484.18,0.0008,-0.0013,0.0001,0.4732,-0.0568,0.8791,1769584407894,no_session
,10484.19,0.0008,-0.0013,0.0001,0.4732,-0.0568,0.8791,1769584407894,no_session
,10484.21,0.0007,-0.0014,0.0001,0.4732,-0.057,0.8791,1769584407894,no_session
,10484.22,0.0007,-0.0013,0.0001,0.4732,-0.0569,0.8791,1769584407894,no_session
,10484.24,0.0007,-0.0014,0.0001,0.4732,-0.0568,0.8791,1769584407894,no_session
,10484.26,0.0008,-0.0013,0.0001,0.4732,-0.0569,0.8791,1769584407894,no_session
,10484.28,0.0007,-0.0014,0.0001,0.4731,-0.0568,0.8792,1769584407894,no_session
,10484.29,0.0007,-0.0014,0.0002,0.4732,-0.057,0.8791,1769584407894,no_session
,10484.31,0.0007,-0.0014,0.0001,0.4731,-0.057,0.8792,1769584407894,no_session
,10484.33,0.0008,-0.0014,0.0001,0.4732,-0.0567,0.8792,1769584407894,no_session
,10484.34,0.0008,-0.0013,0.0002,0.4731,-0.0568,0.8792,1769584407894,no_session
,10484.36,0.0007,-0.0013,0.0002,0.4731,-0.057,0.8792,1769584407894,no_session
,10484.38,0.0007,-0.0014,0.0001,0.4732,-0.057,0.8791,1769584407894,no_session
,10484.39,0.0007,-0.0014,0.0001,0.4731,-0.0567,0.8792,1769584407894,no_session
,10484.41,0.0008,-0.0013,0.0002,0.4732,-0.0567,0.8791,1769584407894,no_session
,10484.42,0.0008,-0.0013,0.0002,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.44,0.0007,-0.0013,0.0002,0.4731,-0.0571,0.8792,1769584407894,no_session
,10484.46,0.0007,-0.0014,0.0002,0.4731,-0.057,0.8792,1769584407894,no_session
,10484.47,0.0008,-0.0014,0.0002,0.4731,-0.0568,0.8792,1769584407894,no_session
,10484.49,0.0008,-0.0014,0.0002,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.51,0.0008,-0.0013,0.0002,0.4731,-0.057,0.8792,1769584407894,no_session
,10484.53,0.0008,-0.0014,0.0002,0.4731,-0.057,0.8792,1769584407894,no_session
,10484.54,0.0008,-0.0014,0.0002,0.4731,-0.0569,0.8791,1769584407894,no_session
,10484.56,0.0008,-0.0013,0.0002,0.4731,-0.0568,0.8792,1769584407894,no_session
,10484.57,0.0008,-0.0013,0.0002,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.59,0.0007,-0.0013,0.0002,0.473,-0.057,0.8792,1769584407894,no_session
,10484.61,0.0008,-0.0013,0.0002,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.63,0.0008,-0.0013,0.0002,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.64,0.0008,-0.0013,0.0001,0.4731,-0.057,0.8792,1769584407894,no_session
,10484.66,0.0008,-0.0013,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.67,0.0008,-0.0013,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.69,0.0008,-0.0014,0.0002,0.4732,-0.0569,0.8791,1769584407894,no_session
,10484.71,0.0008,-0.0013,0.0001,0.473,-0.057,0.8792,1769584407894,no_session
,10484.73,0.0008,-0.0013,0.0001,0.473,-0.0569,0.8792,1769584407894,no_session
,10484.74,0.0008,-0.0013,0.0001,0.4731,-0.0568,0.8792,1769584407894,no_session
,10484.76,0.0008,-0.0013,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.78,0.0008,-0.0014,0.0001,0.4731,-0.057,0.8792,1769584407894,no_session
,10484.79,0.0008,-0.0014,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.81,0.0008,-0.0014,0.0001,0.4731,-0.0568,0.8792,1769584407894,no_session
,10484.82,0.0008,-0.0014,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.84,0.0008,-0.0014,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.86,0.0008,-0.0014,0.0001,0.4731,-0.0568,0.8792,1769584407894,no_session
,10484.88,0.0008,-0.0014,0.0001,0.4731,-0.057,0.8792,1769584407894,no_session
,10484.89,0.0008,-0.0013,0,0.4731,-0.0566,0.8792,1769584407894,no_session
,10484.91,0.0009,-0.0013,0,0.4731,-0.0567,0.8792,1769584407894,no_session
,10484.92,0.0008,-0.0014,0.0001,0.4731,-0.0567,0.8792,1769584407894,no_session
,10484.94,0.0008,-0.0014,0.0001,0.4731,-0.057,0.8791,1769584407894,no_session
,10484.96,0.0008,-0.0015,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10484.97,0.0009,-0.0014,0.0001,0.4732,-0.0568,0.8791,1769584407894,no_session
,10484.99,0.0008,-0.0014,0,0.4732,-0.0568,0.8791,1769584407894,no_session
,10485.01,0.0008,-0.0014,0.0001,0.4732,-0.0568,0.8791,1769584407894,no_session
,10485.02,0.0008,-0.0014,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10485.04,0.0008,-0.0014,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.06,0.0008,-0.0015,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10485.08,0.0008,-0.0014,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.09,0.0008,-0.0015,0.0001,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.11,0.0008,-0.0015,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10485.13,0.0008,-0.0014,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.14,0.0008,-0.0014,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.16,0.0008,-0.0015,0,0.473,-0.0569,0.8792,1769584407894,no_session
,10485.17,0.0008,-0.0015,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10485.19,0.0008,-0.0015,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.21,0.0008,-0.0014,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10485.22,0.0008,-0.0015,0,0.4731,-0.0569,0.8791,1769584407894,no_session
,10485.24,0.0008,-0.0015,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.26,0.0008,-0.0014,0,0.4731,-0.0567,0.8792,1769584407894,no_session
,10485.27,0.0008,-0.0015,0.0001,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.29,0.0008,-0.0014,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10485.31,0.0008,-0.0014,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.33,0.0008,-0.0014,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.34,0.0008,-0.0015,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.36,0.0008,-0.0014,0.0001,0.4731,-0.0569,0.8792,1769584407894,no_session
,10485.38,0.0008,-0.0015,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10485.39,0.0008,-0.0015,0,0.4731,-0.0567,0.8792,1769584407894,no_session
,10485.41,0.0008,-0.0015,0,0.4731,-0.0567,0.8792,1769584407894,no_session
,10485.42,0.0008,-0.0014,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10485.44,0.0008,-0.0014,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10485.46,0.0008,-0.0015,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.48,0.0008,-0.0015,0,0.4731,-0.0567,0.8792,1769584407894,no_session
,10485.49,0.0008,-0.0015,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.51,0.0008,-0.0014,0,0.4731,-0.0569,0.8792,1769584407894,no_session
,10485.53,0.0007,-0.0014,0,0.4731,-0.0568,0.8792,1769584407894,no_session
,10485.54,0.0008,-0.0014,0,0.4731,-0.0568,0.8792,1769584407894,no_session
